symbol,rr,atr_mult,total_r,wr,avg_r,trades,wins
SUIUSDT,2.0,0.5,-699.51,28.7,-0.508,1378,395
SUIUSDT,2.0,0.75,-500.67,29.4,-0.363,1378,405
SUIUSDT,2.0,1.0,-347.25,31.1,-0.252,1378,428
SUIUSDT,2.0,1.25,-335.6,30.1,-0.244,1378,415
SUIUSDT,2.0,1.5,-352.84,28.9,-0.256,1378,398
SUIUSDT,2.0,1.75,-385.22,27.5,-0.28,1378,379
SUIUSDT,2.0,2.0,-388.13,27.0,-0.282,1378,372
SUIUSDT,3.0,0.5,-676.51,21.9,-0.491,1378,302
SUIUSDT,3.0,0.75,-575.67,20.7,-0.418,1378,285
SUIUSDT,3.0,1.0,-475.25,21.0,-0.345,1378,289
SUIUSDT,3.0,1.25,-456.6,20.4,-0.331,1378,281
SUIUSDT,3.0,1.5,-390.84,21.0,-0.284,1378,289
SUIUSDT,3.0,1.75,-394.22,20.5,-0.286,1378,282
SUIUSDT,3.0,2.0,-343.63,21.0,-0.249,1378,290
SUIUSDT,4.0,0.5,-649.51,17.9,-0.471,1378,247
SUIUSDT,4.0,0.75,-620.67,15.9,-0.45,1378,219
SUIUSDT,4.0,1.0,-596.25,15.0,-0.433,1378,207
SUIUSDT,4.0,1.25,-425.6,16.8,-0.309,1378,231
SUIUSDT,4.0,1.5,-326.34,17.7,-0.237,1378,244
SUIUSDT,4.0,1.75,-376.22,16.6,-0.273,1378,229
SUIUSDT,4.0,2.0,-442.13,15.4,-0.321,1378,212
SUIUSDT,5.0,0.5,-690.51,14.4,-0.501,1378,199
SUIUSDT,5.0,0.75,-629.67,13.1,-0.457,1378,181
SUIUSDT,5.0,1.0,-497.25,13.7,-0.361,1378,189
SUIUSDT,5.0,1.25,-410.1,14.2,-0.298,1378,195
SUIUSDT,5.0,1.5,-434.84,13.4,-0.316,1378,185
SUIUSDT,5.0,1.75,-445.22,13.0,-0.323,1378,179
SUIUSDT,5.0,2.0,-337.13,14.1,-0.245,1378,194
SUIUSDT,6.0,0.5,-659.51,12.7,-0.479,1378,175
SUIUSDT,6.0,0.75,-679.67,10.7,-0.493,1378,148
SUIUSDT,6.0,1.0,-483.25,11.9,-0.351,1378,164
SUIUSDT,6.0,1.25,-528.6,10.9,-0.384,1378,150
SUIUSDT,6.0,1.5,-423.84,11.6,-0.308,1378,160
SUIUSDT,6.0,1.75,-322.22,12.4,-0.234,1378,171
SUIUSDT,6.0,2.0,-268.13,12.8,-0.195,1378,176
SUIUSDT,7.0,0.5,-692.51,10.8,-0.503,1378,149
SUIUSDT,7.0,0.75,-667.67,9.5,-0.485,1378,131
SUIUSDT,7.0,1.0,-486.75,10.4,-0.353,1378,143
SUIUSDT,7.0,1.25,-545.6,9.4,-0.396,1378,129
SUIUSDT,7.0,1.5,-311.84,11.2,-0.226,1378,154
SUIUSDT,7.0,1.75,-318.22,10.9,-0.231,1378,150
SUIUSDT,7.0,2.0,-272.63,11.1,-0.198,1378,153
SUIUSDT,8.0,0.5,-723.51,9.4,-0.525,1378,129
SUIUSDT,8.0,0.75,-608.67,8.9,-0.442,1378,123
SUIUSDT,8.0,1.0,-567.75,8.6,-0.412,1378,118
SUIUSDT,8.0,1.25,-479.6,8.9,-0.348,1378,122
SUIUSDT,8.0,1.5,-274.34,10.2,-0.199,1378,141
SUIUSDT,8.0,1.75,-291.72,9.9,-0.212,1378,136
SUIUSDT,8.0,2.0,-293.13,9.7,-0.213,1378,133
SUIUSDT,9.0,0.5,-694.51,8.6,-0.504,1378,119
SUIUSDT,9.0,0.75,-635.67,7.8,-0.461,1378,108
SUIUSDT,9.0,1.0,-529.25,8.0,-0.384,1378,110
SUIUSDT,9.0,1.25,-417.1,8.4,-0.303,1378,116
SUIUSDT,9.0,1.5,-340.34,8.7,-0.247,1378,120
SUIUSDT,9.0,1.75,-339.72,8.5,-0.247,1378,117
SUIUSDT,9.0,2.0,-358.13,8.2,-0.26,1378,113
SUIUSDT,10.0,0.5,-608.51,8.4,-0.442,1378,116
SUIUSDT,10.0,0.75,-625.67,7.2,-0.454,1378,99
SUIUSDT,10.0,1.0,-496.25,7.5,-0.36,1378,103
SUIUSDT,10.0,1.25,-419.6,7.6,-0.305,1378,105
SUIUSDT,10.0,1.5,-392.84,7.5,-0.285,1378,104
SUIUSDT,10.0,1.75,-418.72,7.2,-0.304,1378,99
SUIUSDT,10.0,2.0,-446.13,6.8,-0.324,1378,94
AAVEUSDT,2.0,0.5,-612.96,30.0,-0.479,1279,384
AAVEUSDT,2.0,0.75,-399.98,31.4,-0.313,1279,401
AAVEUSDT,2.0,1.0,-312.98,31.5,-0.245,1279,403
AAVEUSDT,2.0,1.25,-300.39,30.6,-0.235,1279,391
AAVEUSDT,2.0,1.5,-225.99,31.7,-0.177,1279,405
AAVEUSDT,2.0,1.75,-196.85,31.8,-0.154,1279,407
AAVEUSDT,2.0,2.0,-86.49,34.2,-0.068,1279,438
AAVEUSDT,3.0,0.5,-604.96,22.7,-0.473,1279,290
AAVEUSDT,3.0,0.75,-414.98,23.2,-0.324,1279,297
AAVEUSDT,3.0,1.0,-317.98,23.5,-0.249,1279,301
AAVEUSDT,3.0,1.25,-249.39,23.9,-0.195,1279,306
AAVEUSDT,3.0,1.5,-176.99,24.7,-0.138,1279,316
AAVEUSDT,3.0,1.75,-157.35,24.6,-0.123,1279,315
AAVEUSDT,3.0,2.0,-67.49,26.0,-0.053,1279,333
AAVEUSDT,4.0,0.5,-604.96,18.1,-0.473,1279,232
AAVEUSDT,4.0,0.75,-367.98,19.3,-0.288,1279,247
