symbol,best_rr,total_r,win_rate,trades,avg_r
BTCUSDT,4.0,7.91,0.267,101,0.078
ETHUSDT,8.0,-27.81,0.104,115,-0.242
SOLUSDT,7.0,65.51,0.211,114,0.575
ZECUSDT,4.0,-18.92,0.187,107,-0.177
FLOWUSDT,5.0,33.66,0.231,121,0.278
XRPUSDT,8.0,-13.32,0.114,105,-0.127
FARTCOINUSDT,7.0,8.27,0.158,38,0.218
DOGEUSDT,5.5,-8.24,0.161,118,-0.07
HYPEUSDT,4.0,-10.23,0.18,61,-0.168
KAITOUSDT,7.0,38.46,0.29,31,1.241
ONTUSDT,4.5,78.65,0.313,131,0.6
BCHUSDT,2.0,-31.36,0.301,136,-0.231
1000PEPEUSDT,5.5,9.28,0.179,112,0.083
ADAUSDT,7.0,-4.14,0.136,118,-0.035
SUIUSDT,8.0,48.82,0.177,96,0.509
STORJUSDT,6.0,28.44,0.196,107,0.266
PIPPINUSDT,2.0,4.77,0.407,27,0.177
LTCUSDT,2.0,-1.74,0.374,131,-0.013
BNBUSDT,4.5,3.29,0.219,128,0.026
GASUSDT,6.0,-0.8,0.158,57,-0.014
DOTUSDT,4.0,5.73,0.237,114,0.05
WIFUSDT,8.0,30.09,0.169,65,0.463
UNIUSDT,3.5,0.46,0.246,138,0.003
TRUUSDT,5.0,18.77,0.212,99,0.19
LINKUSDT,4.5,29.45,0.246,126,0.234
NEARUSDT,2.5,-9.37,0.287,115,-0.081
AAVEUSDT,7.0,61.23,0.194,134,0.457
ZENUSDT,8.0,25.39,0.147,116,0.219
AVAXUSDT,5.5,30.85,0.21,119,0.259
XMRUSDT,2.0,-44.37,0.243,107,-0.415
DASHUSDT,4.5,-7.88,0.187,91,-0.087
ENAUSDT,8.0,26.68,0.159,69,0.387
TAOUSDT,2.5,-11.18,0.271,85,-0.131
APTUSDT,6.0,-25.03,0.127,118,-0.212
SEIUSDT,5.5,16.78,0.194,93,0.18
TONUSDT,6.0,-14.89,0.137,95,-0.157
MNTUSDT,2.0,-14.58,0.323,96,-0.152
XAUTUSDT,3.5,-12.48,0.303,33,-0.378
STRKUSDT,8.0,8.79,0.134,67,0.131
NTRNUSDT,4.0,-11.8,0.188,80,-0.148
CRVUSDT,2.5,-5.02,0.298,114,-0.044
FILUSDT,5.5,19.22,0.194,124,0.155
TRXUSDT,8.0,9.48,0.151,126,0.075
MERLUSDT,6.0,45.47,0.246,69,0.659
HIVEUSDT,8.0,23.63,0.2,35,0.675
ARBUSDT,8.0,23.11,0.145,117,0.198
WLDUSDT,7.0,13.39,0.152,92,0.146
HBARUSDT,4.5,35.11,0.268,97,0.362
PENGUUSDT,8.0,25.7,0.194,36,0.714
MASKUSDT,2.5,-9.17,0.293,116,-0.079
AIXBTUSDT,6.0,18.98,0.229,35,0.542
ICPUSDT,6.0,37.93,0.202,124,0.306
ETCUSDT,7.0,30.66,0.172,128,0.24
VIRTUALUSDT,5.5,31.52,0.25,56,0.563
OPUSDT,6.0,-25.39,0.129,132,-0.192
ONDOUSDT,8.0,6.44,0.13,77,0.084
XLMUSDT,2.0,-40.07,0.274,124,-0.323
ATOMUSDT,2.0,-5.75,0.362,141,-0.041
IPUSDT,2.0,-8.45,0.273,33,-0.256
ACTUSDT,8.0,6.87,0.14,43,0.16
TRUMPUSDT,7.0,16.7,0.2,35,0.477
ZKUSDT,5.0,13.5,0.217,60,0.225
LPTUSDT,8.0,25.78,0.147,116,0.222
IDUSDT,8.0,24.88,0.145,117,0.213
INJUSDT,8.0,35.98,0.157,108,0.333
TIAUSDT,3.0,-37.56,0.145,76,-0.494
SHIB1000USDT,4.0,6.98,0.237,118,0.059
FLOCKUSDT,6.0,22.3,0.25,32,0.697
GALAUSDT,7.0,24.5,0.162,117,0.209
