Filter,Trail,N,WR,Total_R,Avg_R,PF,Max_DD,Status
Volume_Only,Trail_Tight_3R,3431,71.72835907898572,423.7393769433947,0.12350317019626776,1.4181746278532819,13.105435878149649,✅
No_Filters,Trail_Tight_3R,3913,71.42857142857143,417.201102613484,0.1066192442150483,1.3573204510140557,18.13634755177418,✅
RSI_Zone_Only,Trail_Tight_3R,3886,71.4359238291302,411.5024764581337,0.10589358632478993,1.3549569053510822,18.002932949914566,✅
Volume_Only,Trail_Tight_2R,3431,71.72835907898572,390.7628935426349,0.11389183723189593,1.3856312074765988,13.105435878149649,✅
No_Filters,Trail_Tight_2R,3913,71.42857142857143,386.15919194158215,0.09868622334310814,1.3307339692139395,19.19652581930859,✅
RSI_Zone_Only,Trail_Tight_2R,3886,71.4359238291302,380.75101631401486,0.0979801894786451,1.328431079257071,19.063111217448977,✅
VWAP_Only,Trail_Tight_3R,3334,71.77564487102579,371.1088235037279,0.11131038497412354,1.3769848347368268,24.287653089201456,✅
VWAP_Only,Trail_Tight_2R,3334,71.77564487102579,343.7228863031514,0.10309624664161711,1.34916527789579,24.27554055635619,✅
Full_Trio,Trail_Tight_3R,2826,71.40835102618543,318.2154412756781,0.11260277469061503,1.3764920234685092,13.633124042190303,✅
Volume_Only,Trail_Medium_3R,3431,65.14135820460507,312.33868678802685,0.09103430101662106,1.2512039793568757,18.18394411226211,✅
Full_Trio,Trail_Tight_2R,2826,71.40835102618543,291.19298341944096,0.10304068769265427,1.3445207910336476,13.633124042190303,✅
No_Filters,Trail_Medium_3R,3913,64.29849220546895,276.5214618379491,0.07066738099615362,1.1900188513360175,27.156102819242392,✅
Volume_Only,Trail_Medium_2R,3431,65.14135820460507,272.6756364334667,0.07947409980573206,1.2193042611856857,19.369981066091384,✅
RSI_Zone_Only,Trail_Medium_3R,3886,64.23057128152342,268.39506353417823,0.06906718052860994,1.185337948139816,27.156102819242392,✅
No_Filters,Trail_Medium_2R,3913,64.29849220546895,238.44550239547587,0.06093674990939838,1.163853974191632,26.972184354139074,✅
RSI_Zone_Only,Trail_Medium_2R,3886,64.23057128152342,229.50955461948828,0.05906061621705823,1.1584858878234998,26.972184354139074,✅
Full_Trio,Trail_Medium_3R,2826,64.68506723283794,218.62611414888843,0.07736239000314524,1.2110658987283551,19.42541505586354,✅
VWAP_Only,Trail_Medium_3R,3334,64.39712057588483,218.61308577897825,0.0655708115713792,1.1770853204224732,33.86239436857548,✅
VWAP_Only,Trail_Medium_2R,3334,64.39712057588483,187.68896318195286,0.056295429868612135,1.1520355474897848,38.463936288440664,✅
Full_Trio,Trail_Medium_2R,2826,64.68506723283794,185.81737935569987,0.0657527881654989,1.179391708651739,21.041072995545704,✅
Full_Trio,Static_1:3,2826,28.308563340410476,94.86467253905704,0.03356853239173993,1.0451452170660454,79.66603531371697,✅
Volume_Only,Static_1:3,3431,28.30078694258234,88.24724585424828,0.02572056130989457,1.0345220736766383,90.86734679898336,✅
VWAP_Only,Static_1:3,3334,28.044391121775647,74.04807054475961,0.022209979167594363,1.029751210394718,120.30836650246802,✅
No_Filters,Static_1:3,3913,28.034755941732687,64.43104505781326,0.016465894469157492,1.0220239666516613,106.9797652273673,✅
RSI_Zone_Only,Static_1:3,3886,27.972207925887805,54.266343522131756,0.013964576305232053,1.018661316424897,109.27193603455689,✅
Volume_Only,Static_1:2,3431,35.091809967939376,-45.68054934233322,-0.013314062763722887,0.9802749273261846,102.6954603148667,❌
Full_Trio,Static_1:2,2826,34.43029016277424,-90.52107427785207,-0.03203151956045721,0.952947998208039,141.528552225292,❌
RSI_Zone_Only,Static_1:2,3886,34.66289243437983,-101.8545846744126,-0.02621064968461467,0.961454568653334,155.0433839923768,❌
No_Filters,Static_1:2,3913,34.653718374648605,-103.68988313873002,-0.02649882012234348,0.9610342331051358,154.35667884592368,❌
VWAP_Only,Static_1:2,3334,34.253149370125975,-121.19863587164052,-0.03635232029743267,0.946795360779168,200.8816206907511,❌
