Config,SL,Trail,Filter,Cooldown,N,WR,Total_R,Avg_R,PF,Status
Fixed_2%|Trail_Tight_3R|All_Signals|CD5,Fixed_2%,Trail_Tight_3R,All_Signals,5,7017,69.74490523015534,1196.6866385417861,0.17054106292458118,1.536552466631061,✅
Fixed_3%|Static_1:4|Bearish_Only|CD5,Fixed_3%,Static_1:4,Bearish_Only,5,3805,33.42969776609724,994.9239187858919,0.2614780338464893,1.3902380267838832,✅
ATR_1x|Trail_Tight_3R|All_Signals|CD5,ATR_1x,Trail_Tight_3R,All_Signals,5,7017,72.43836397320791,988.8916756807597,0.14092798570340026,1.4895006434765696,✅
Fixed_2%|Trail_Tight|All_Signals|CD5,Fixed_2%,Trail_Tight,All_Signals,5,7017,69.74490523015534,983.5343271682234,0.14016450437056055,1.440982419509141,✅
Fixed_2%|Trail_Tight_3R|All_Signals|CD10,Fixed_2%,Trail_Tight_3R,All_Signals,10,5425,70.13824884792626,922.8071354325568,0.1701026977755865,1.5422811681227855,✅
ATR_1x|Trail_Tight|All_Signals|CD5,ATR_1x,Trail_Tight,All_Signals,5,7017,72.43836397320791,920.8400019037853,0.13122987058625984,1.455815115604616,✅
Fixed_3%|Trail_Tight_3R|All_Signals|CD5,Fixed_3%,Trail_Tight_3R,All_Signals,5,7017,73.60695453897677,903.4468460027791,0.1287511537698132,1.4788623110698782,✅
Fixed_2%|Trail_Medium_3R|All_Signals|CD5,Fixed_2%,Trail_Medium_3R,All_Signals,5,7017,63.48867037195382,891.3003147953566,0.12702013891910455,1.3324073056641161,✅
Fixed_3%|Static_1:3|Bearish_Only|CD5,Fixed_3%,Static_1:3,Bearish_Only,5,3805,35.9526938239159,886.6871688200979,0.2330321074428641,1.360878480227299,✅
ATR_2x|Static_1:4|Bearish_Only|CD5,ATR_2x,Static_1:4,Bearish_Only,5,3805,31.773981603153743,855.5431760184806,0.2248470896237794,1.3236378213470281,✅
Fixed_3%|Static_1:4|Bearish_Only|CD10,Fixed_3%,Static_1:4,Bearish_Only,10,3142,33.290897517504774,802.2623762596501,0.25533493833852644,1.3806598126062466,✅
Fixed_3%|Trail_Tight|All_Signals|CD5,Fixed_3%,Trail_Tight,All_Signals,5,7017,73.60695453897677,797.6397597503759,0.11367247538127062,1.422780399804633,✅
