symbol,best_rr,total_r,win_rate,trades,avg_r
BTCUSDT,8.0,15.37,0.217,23,0.668
ETHUSDT,6.0,4.52,0.182,33,0.137
SOLUSDT,2.0,12.03,0.474,38,0.317
FLOWUSDT,7.0,12.36,0.179,39,0.317
ZECUSDT,3.5,-21.21,0.094,32,-0.663
XRPUSDT,5.5,2.77,0.184,38,0.073
FARTCOINUSDT,7.0,8.27,0.158,38,0.218
STORJUSDT,6.0,6.79,0.182,44,0.154
ONTUSDT,4.0,0.79,0.229,35,0.023
DOGEUSDT,7.0,14.99,0.189,37,0.405
ADAUSDT,7.0,16.51,0.186,43,0.384
HYPEUSDT,4.0,-13.18,0.169,59,-0.223
1000PEPEUSDT,7.0,23.16,0.2,45,0.515
PIPPINUSDT,2.0,4.77,0.407,27,0.177
BCHUSDT,2.0,-14.22,0.277,47,-0.303
SUIUSDT,8.0,34.55,0.209,43,0.804
UNIUSDT,7.0,-10.18,0.109,46,-0.221
KAITOUSDT,7.0,38.46,0.29,31,1.241
GASUSDT,8.0,7.87,0.16,25,0.315
XPLUSDT,5.5,0.34,0.167,12,0.028
LTCUSDT,5.5,19.8,0.244,41,0.483
AVNTUSDT,7.0,22.57,0.444,9,2.508
DOTUSDT,6.0,-4.16,0.143,35,-0.119
LINKUSDT,8.0,30.2,0.196,46,0.656
WIFUSDT,8.0,52.67,0.286,35,1.505
NEARUSDT,7.0,14.66,0.184,38,0.386
AAVEUSDT,8.0,27.43,0.184,49,0.56
0GUSDT,3.0,2.28,0.333,9,0.253
ZENUSDT,3.5,-5.46,0.2,30,-0.182
AVAXUSDT,8.0,16.58,0.176,34,0.488
TONUSDT,8.0,12.87,0.156,45,0.286
ENAUSDT,8.0,26.03,0.2,35,0.744
BNBUSDT,5.0,-4.16,0.184,49,-0.085
TAOUSDT,2.5,1.13,0.318,44,0.026
DASHUSDT,4.5,11.09,0.267,30,0.37
SQDUSDT,4.5,13.1,0.316,19,0.689
HIVEUSDT,8.0,23.63,0.2,35,0.675
XMRUSDT,2.5,-21.29,0.158,38,-0.56
SEIUSDT,8.0,29.11,0.2,40,0.728
APTUSDT,6.0,-7.78,0.133,45,-0.173
ASTERUSDT,8.0,14.33,0.25,12,1.194
TRUUSDT,2.5,-3.79,0.286,42,-0.09
FILUSDT,4.5,7.77,0.237,38,0.205
NTRNUSDT,4.0,3.57,0.237,38,0.094
LIGHTUSDT,4.5,7.13,0.333,9,0.793
