sl_pct,max_r,be_threshold,trail_distance,cooldown,trades,total_r,wr,avg_r,wf_splits,wf_r,mc_p5,mc_prob,oos_n,oos_r,max_losses
0.012,7,0.2,0.05,3,37051,5441.8774202856985,72.35972038541469,0.1468753183526949,5,2341.449533457914,5121.944403757826,100.0,12914,1794.062076148052,30
0.012,6,0.2,0.05,3,37051,5334.174276157925,72.35972038541469,0.14396842935839588,5,2301.9702290464265,5030.244329174733,100.0,12914,1779.640864044849,30
0.012,5,0.2,0.05,3,37051,5172.617515941085,72.35972038541469,0.13960804069906574,5,2238.2586356532047,4819.3543285939695,100.0,12914,1753.981892122054,30
0.01,7,0.2,0.05,3,37051,5304.551807364418,68.7727726647054,0.14316892411444815,5,2230.459258515636,4902.954263170475,100.0,12914,1917.6758727230751,30
0.012,7,0.3,0.05,3,37051,5100.656564827138,68.53526220614829,0.1376658272334657,5,2219.9152537220502,4781.027434317328,100.0,12914,1628.7745083588002,30
0.012,6,0.3,0.05,3,37051,4992.953420699367,68.53526220614829,0.13475893823916674,5,2180.435949310564,4661.089574244157,100.0,12914,1614.3532962555926,30
0.01,6,0.2,0.05,3,37051,5159.506557043425,68.7727726647054,0.13925417821498542,5,2173.141895822672,4807.313332438878,100.0,12914,1892.4331844374303,30
0.015,7,0.2,0.05,3,37051,5001.165894853669,75.5148309087474,0.13498059147806182,5,2144.6304177691745,4713.352323199681,100.0,12914,1628.413771921025,26
0.01,7,0.3,0.05,3,37051,5026.941591532867,65.62575908882351,0.1356762730164602,5,2140.697620051436,4655.463056143634,100.0,12914,1798.2835619577522,30
0.012,7,0.5,0.05,3,37051,4553.935710242793,61.22641764054951,0.12290992713402589,5,2138.065723929318,4226.533757142371,100.0,12914,1524.7166107277365,30
0.012,4,0.2,0.05,3,37051,4907.497836847438,72.35972038541469,0.13245250699974193,5,2136.9772420356658,4618.762128403138,100.0,12914,1708.050263040348,30
0.015,6,0.2,0.05,3,37051,4937.156089420615,75.5148309087474,0.1332529780416349,5,2119.790535928343,4676.043494124263,100.0,12914,1619.604043938802,26
0.012,5,0.3,0.05,3,37051,4831.395345135346,68.53526220614829,0.13039851407884662,5,2116.723040570176,4496.928368802543,100.0,12914,1588.6943243327962,30
0.012,6,0.5,0.05,3,37051,4444.3276965211135,61.22641764054951,0.11995162604305183,5,2098.586419517831,4080.9090131493026,100.0,12914,1508.2953986245357,30
0.01,5,0.2,0.05,3,37051,4940.737791187086,68.7727726647054,0.1333496475449269,5,2089.4966348180037,4610.947705433061,100.0,12914,1852.459523532383,30
0.01,6,0.3,0.05,3,37051,4881.884763795309,65.62575908882351,0.13176121464455234,5,2083.3686799418733,4513.4080687266605,100.0,12914,1773.040873672106,30
0.008,7,0.2,0.05,3,37051,5153.574142871825,64.03335942349734,0.13909406339563912,5,2083.1943735406703,4706.974751817614,100.0,12914,2021.8068373554527,36
0.015,5,0.2,0.05,3,37051,4832.619486347695,75.5148309087474,0.13043155343574248,5,2081.283548179019,4540.471413778637,100.0,12914,1606.2750160151325,26
0.015,7,0.3,0.05,3,37051,4678.981524363322,70.9697444063588,0.12628489175361857,5,2033.6220363139664,4400.263028875071,100.0,12914,1503.598775477301,26
0.015,4,0.2,0.05,3,37051,4663.479270724127,75.5148309087474,0.12586648864333289,5,2017.1290720460092,4419.216512978202,100.0,12914,1579.0185187501802,26
0.01,7,0.5,0.05,3,37051,4432.050667864144,59.24806348006801,0.11962027119009322,5,2014.5563750383496,4025.313899325282,100.0,12914,1622.0567231834632,30
0.012,4,0.3,0.05,3,37051,4565.275666041734,68.53526220614829,0.12321599055468771,5,2014.441646952638,4255.659099966283,100.0,12914,1542.3539081444962,30
0.015,6,0.3,0.05,3,37051,4613.240077613562,70.9697444063588,0.12451054162137491,5,2007.7821544731346,4306.973585027263,100.0,12914,1494.295123934839,26
0.008,7,0.3,0.05,3,37051,4861.505354099986,61.38025964211492,0.13121117794661374,5,2005.3205423189802,4483.5514705674195,100.0,12914,1919.223240069168,36
0.01,5,0.3,0.05,3,37051,4662.115997938777,65.62575908882351,0.12582969414965256,5,1998.7234189372055,4330.536408121927,100.0,12914,1732.9617975675033,30
0.008,6,0.2,0.05,3,37051,4923.42641448573,64.03335942349734,0.13288241652008664,5,1997.3649333499852,4541.054271284028,100.0,12914,1975.9683235080906,36
0.015,5,0.3,0.05,3,37051,4505.189577865503,70.9697444063588,0.12159427755972857,5,1968.2751667238106,4220.57150412439,100.0,12914,1479.9660960111694,26
0.01,4,0.2,0.05,3,37051,4587.71547537227,68.7727726647054,0.12382163707787293,5,1954.8230174313262,4236.559077828845,100.0,12914,1772.8142335528082,30
0.008,6,0.3,0.05,3,37051,4631.357625713946,61.38025964211492,0.12499953107106275,5,1919.4911021282953,4243.873673960409,100.0,12914,1873.0226668576001,36
0.008,5,0.2,0.05,3,37051,4581.631015865978,64.03335942349734,0.12365741858157615,5,1867.6694973650856,4180.844438686296,100.0,12914,1895.1699161134588,36
