Filter,N,WR,Total_R,Avg_R,Status
rsi_volume,21636,62.5947494915881,-1290.7134308141442,-0.05965582505149492,❌
volume_2x,30179,65.55220517578448,-1632.8869694268037,-0.054106728832194695,❌
volume_trend,50139,65.31841480683698,-1777.450769550321,-0.035450463103578474,❌
regular_only,48754,65.74229806785084,-2401.8608993394146,-0.049264899276765285,❌
volume_1.5x,52008,65.34571604368558,-2524.0991207493685,-0.048532901106548385,❌
hidden_volume,66669,65.30621428250011,-2896.371711678678,-0.0434440551332505,❌
rsi_extreme,60004,64.35070995266983,-3891.0842671264627,-0.06484708131335348,❌
volume_1x,99815,65.13149326253568,-4375.023936570269,-0.043831327321247,❌
london_ny,176035,65.47163916266652,-7671.11296843938,-0.04357720321776567,❌
avoid_asia,206079,65.54622256513278,-10101.63286341727,-0.04901825447239782,❌
trend_aligned,195651,65.67970518934226,-10189.012593862459,-0.052077487944669126,❌
hidden_only,278683,65.74136204935357,-15742.015964807444,-0.05648717706070139,❌
no_filter,327437,65.7415014185935,-18143.87686419182,-0.05541181010146019,❌
