SL_Pct,Exit,N,WR,Total_R,Avg_R,Fee_Impact,Status
0.5%,Trail_Tight_5R,7722,64.6853146853147,494.53111195587996,0.0640418430401295,0.22,✅
0.5%,Trail_Tight_4R,7722,64.6853146853147,371.23635471906465,0.048075156011274885,0.22,✅
1.0%,Trail_Tight_5R,7722,73.01217301217301,292.73968798825086,0.03790982750430599,0.11,✅
1.0%,Trail_Tight_4R,7722,73.01217301217301,267.78940499305094,0.03467876262536272,0.11,✅
1.0%,Trail_Tight_3R,7722,73.01217301217301,220.05564467695476,0.028497234482900122,0.11,✅
1.5%,Trail_Tight_5R,7722,74.57912457912458,200.8861386935549,0.026014780975596334,0.07333333333333333,✅
1.5%,Trail_Tight_4R,7722,74.57912457912458,193.99254243917156,0.025122059367932086,0.07333333333333333,✅
1.5%,Trail_Tight_3R,7722,74.57912457912458,179.20082837719016,0.023206530481376608,0.07333333333333333,✅
0.5%,Trail_Tight_3R,7722,64.6853146853147,170.77712140755784,0.02211565933793808,0.22,✅
1.5%,Trail_Tight_2R,7722,74.57912457912458,134.22902646154577,0.017382676309446485,0.07333333333333333,✅
2.0%,Trail_Tight_5R,7722,74.22947422947423,126.41211718260831,0.01637038554553332,0.055,✅
2.0%,Trail_Tight_4R,7722,74.22947422947423,122.15441022213173,0.015819011942778002,0.055,✅
2.0%,Trail_Tight_3R,7722,74.22947422947423,114.90921303134465,0.0148807579683171,0.055,✅
1.0%,Trail_Tight_2R,7722,73.01217301217301,112.92363753726048,0.014623625684700917,0.11,✅
2.0%,Trail_Tight_2R,7722,74.22947422947423,93.43400124817691,0.012099715261354171,0.055,✅
2.0%,Static_2R,7722,41.064491064491065,-130.14662848028217,-0.016854005242201785,0.055,❌
1.5%,Static_4R,7722,33.126133126133126,-138.61300380254477,-0.01795040194283149,0.07333333333333333,❌
1.5%,Static_5R,7722,32.25848225848226,-139.29375642605675,-0.018038559495733845,0.07333333333333333,❌
1.5%,Static_3R,7722,35.02978502978503,-142.21041139887822,-0.018416266692421423,0.07333333333333333,❌
1.0%,Static_4R,7722,28.774928774928775,-153.7051345158575,-0.01990483482463837,0.11,❌
2.0%,Static_3R,7722,37.930587930587926,-156.3174013959187,-0.020243123723895196,0.055,❌
2.0%,Static_5R,7722,36.182336182336186,-168.18002565655908,-0.021779335101859504,0.055,❌
2.0%,Static_4R,7722,36.7003367003367,-189.30948227075828,-0.02451560246966567,0.055,❌
1.0%,Static_5R,7722,27.117327117327118,-207.00629885685098,-0.02680734250930471,0.11,❌
0.5%,Trail_Tight_2R,7722,64.6853146853147,-211.8854483702647,-0.027439193003142282,0.22,❌
1.5%,Static_2R,7722,38.64283864283865,-266.4128702161551,-0.03450050119349328,0.07333333333333333,❌
1.0%,Static_3R,7722,31.067081067081066,-324.64246175689556,-0.04204124083875881,0.11,❌
1.0%,Static_2R,7722,36.635586635586634,-415.350878653087,-0.053787992573567346,0.11,❌
0.5%,Static_5R,7722,21.1991711991712,-649.335101747245,-0.08408897976524798,0.22,❌
0.5%,Static_4R,7722,23.62082362082362,-824.9894988577364,-0.1068362469383238,0.22,❌
0.5%,Static_3R,7722,28.321678321678323,-884.2374362303443,-0.11450886250069209,0.22,❌
0.5%,Static_2R,7722,36.10463610463611,-1078.9542737666936,-0.139724718177505,0.22,❌
