sl_pct,max_r,cooldown,filter,trades,wins,wr,total_r,avg_r
0.01,6,5,none,42567,30969,72.75354147579111,189.527407868695,0.004452449265127799
0.01,5,5,none,42569,30970,72.75247245648242,161.81925097506527,0.003801340200029723
0.01,6,5,hidden,38501,28071,72.90979455079089,112.75984151775735,0.002928750980955231
0.01,4,5,none,42574,30969,72.7415793676892,102.79026014901228,0.0024143904765587514
0.01,5,5,hidden,38503,28072,72.90860452432278,86.92395540928187,0.0022575891595273583
0.01,6,5,volume,30550,22277,72.91980360065466,26.442036507026693,0.0008655331098863074
0.01,4,5,hidden,38510,28072,72.89535185666061,24.8221985177153,0.0006445650095485666
0.01,5,5,volume,30551,22277,72.91741677850152,2.0932904177364486,6.851790179491501e-05
0.01,4,5,volume,30552,22280,72.9248494370254,-34.711709723376096,-0.0011361517977014957
0.01,6,20,volume,17755,13111,73.8439876091242,-34.99374386784124,-0.0019709233380930014
0.01,5,20,volume,17755,13111,73.8439876091242,-48.45501828937366,-0.002729091427168328
0.01,3,5,none,42586,30958,72.69525196073828,-60.35785161074049,-0.0014173167616291853
0.01,4,20,volume,17756,13111,73.83982879026809,-75.17235427711965,-0.004233631126217597
0.01,3,5,hidden,38524,28075,72.87664832312325,-94.87171245341783,-0.002462665155576208
0.01,6,10,volume,24437,17854,73.06134140851987,-108.92734395905642,-0.004457476120598126
0.01,3,5,volume,30560,22284,72.91884816753927,-122.58964849756818,-0.004011441377538226
0.01,6,10,none,31216,22798,73.03305996924654,-124.4060893354824,-0.003985330898753281
0.01,5,10,volume,24437,17854,73.06134140851987,-124.88509889769254,-0.005110492241179054
0.01,6,10,hidden,29030,21226,73.11746469169825,-128.71739799639454,-0.004433944126641217
0.01,3,20,volume,17757,13111,73.83567043982654,-130.37304032923137,-0.007342064556469638
0.01,5,10,none,31217,22801,73.04033058910208,-133.2730951527135,-0.004269247370109668
0.01,6,20,hidden,19878,14603,73.46312506288359,-139.35206588184383,-0.007010366529924732
0.01,5,10,hidden,29033,21228,73.11679812627011,-142.80677374410956,-0.004918774282509888
0.01,6,20,rsi_extreme,13906,10264,73.80986624478642,-144.2712435139104,-0.010374747843658163
0.01,5,20,rsi_extreme,13906,10264,73.80986624478642,-146.75017052043103,-0.010553010967958508
0.01,5,20,hidden,19878,14601,73.45306368849985,-160.32475969222565,-0.008065437151233808
0.01,4,10,volume,24438,17853,73.05425975939112,-162.14546605343622,-0.006634972831387029
0.01,4,20,rsi_extreme,13906,10264,73.80986624478642,-162.59112482487654,-0.011692156250890014
0.01,4,20,hidden,19880,14606,73.47082494969818,-165.9201888481619,-0.008346085958157038
0.01,4,10,hidden,29033,21227,73.1133537698481,-178.35019813751202,-0.006143016503203666
0.0075,6,20,volume,19466,14123,72.55214219665056,-180.22365633441714,-0.009258381605590112
0.01,4,10,none,31217,22798,73.03072044078547,-187.5319641479382,-0.006007366631897306
0.01,6,10,rsi_extreme,17819,13081,73.41040462427746,-191.23100833973868,-0.010731859719385974
0.01,3,20,rsi_extreme,13907,10264,73.80455885525275,-195.8644056438136,-0.014083871837478506
0.0075,6,5,volume,35021,25084,71.62559607092888,-201.53170607587444,-0.005754595987432524
0.01,5,10,rsi_extreme,17819,13081,73.41040462427746,-205.41108211467972,-0.011527643645248314
0.0075,6,5,none,50643,36366,71.80854214797702,-208.0784158737666,-0.004108730049044618
0.01,6,5,rsi_extreme,21023,15314,72.84402796936689,-209.7481138664361,-0.009977078146146416
0.0075,5,20,volume,19467,14123,72.54841526686187,-211.22374413556835,-0.010850349007837282
0.01,3,10,volume,24440,17857,73.06464811783961,-219.25518254903704,-0.008971161315427047
0.01,5,5,rsi_extreme,21023,15314,72.84402796936689,-224.27127243758994,-0.010667900510754409
