sl_pct,max_r,cooldown,trades,wins,wr,total_r,avg_r,fee_impact
0.006,8,3,68661,48349,70.41697615822665,-631.8645452967147,-0.009202670297500978,0.18333333333333335
0.006,7,3,68662,48350,70.41740700824329,-703.3455558598088,-0.01024359261104845,0.18333333333333335
0.006,6,3,68673,48358,70.41777700115038,-782.7523596116483,-0.011398254912580612,0.18333333333333335
0.006,5,3,68684,48356,70.4035874439462,-969.1213223526514,-0.014109855604691798,0.18333333333333335
0.006,8,10,38898,27607,70.97280065813152,-1001.8238154048072,-0.025755149761036742,0.18333333333333335
0.006,8,5,55951,39665,70.89238798234169,-1009.9042936698273,-0.01804979881806987,0.18333333333333335
0.006,7,10,38899,27609,70.97611763798555,-1031.7705517260192,-0.02652434642859763,0.18333333333333335
0.006,7,5,55955,39662,70.88195871682602,-1068.079233390044,-0.019088182171209795,0.18333333333333335
0.006,6,10,38903,27607,70.96367889365858,-1097.6061995842708,-0.028213921794829983,0.18333333333333335
0.006,6,5,55959,39661,70.8751049875802,-1141.1985653886686,-0.020393476748845916,0.18333333333333335
0.006,5,10,38908,27610,70.96226997018607,-1178.2269145576838,-0.030282381889526158,0.18333333333333335
0.006,5,5,55963,39643,70.83787502456981,-1311.7027506279433,-0.023438749720850263,0.18333333333333335
0.005,8,10,41106,26910,65.46489563567363,-1629.4750724788412,-0.03964080845810444,0.22
0.005,7,10,41110,26908,65.45366090975432,-1693.885779701213,-0.04120374068842649,0.22
0.005,6,10,41113,26909,65.45131710164668,-1778.6391858987206,-0.04326220869065066,0.22
0.005,5,10,41115,26905,65.43840447525234,-1907.9318334717225,-0.04640476306631941,0.22
0.005,8,5,60136,39323,65.3901157376613,-2016.4222374601668,-0.03353103361480921,0.22
0.005,8,3,74751,48575,64.98240826209683,-2080.154488117545,-0.027827781409179075,0.22
0.005,7,5,60140,39319,65.37911539740605,-2111.6750025256783,-0.03511265384977849,0.22
0.005,7,3,74757,48581,64.98521877549929,-2152.448382482906,-0.02879259978975756,0.22
0.005,6,5,60144,39306,65.35315243415802,-2263.377718231884,-0.03763264362582941,0.22
0.005,6,3,74768,48575,64.96763321206933,-2341.8139879671216,-0.03132107302545369,0.22
0.005,5,5,60150,39318,65.36658354114712,-2392.9587535348132,-0.03978318792244079,0.22
0.005,5,3,74785,48582,64.96222504512937,-2577.2851703123933,-0.03446259504328934,0.22
0.004,8,10,43422,24400,56.19271337110221,-2786.4151917221857,-0.06417058614808589,0.275
0.004,7,10,43423,24399,56.18911636690234,-2872.712062931342,-0.06615646231101817,0.275
0.004,6,10,43426,24395,56.17602358034357,-3029.982834335491,-0.06977347290414708,0.275
0.004,5,10,43432,24393,56.16365813225271,-3237.492062288814,-0.0745416297266719,0.275
0.004,8,5,64676,36050,55.739377821757685,-4100.150212834467,-0.0633952349068351,0.275
0.004,7,5,64679,36040,55.7213314986317,-4261.117775417837,-0.06588100891197818,0.275
0.004,8,3,81538,45601,55.926071279648745,-4377.513440949706,-0.05368678948404064,0.275
0.004,6,5,64689,36055,55.735905640835384,-4400.53905116711,-0.06802607941330227,0.275
0.004,7,3,81549,45602,55.91975376767342,-4540.2392127392595,-0.05567498329518767,0.275
0.004,5,5,64714,36065,55.72982662175109,-4715.303009789261,-0.07286372361141732,0.275
0.004,6,3,81568,45606,55.911632012553945,-4851.588212895425,-0.05947906302588546,0.275
0.003,8,10,45729,21452,46.91115047344136,-5062.24596226561,-0.11070099854065493,0.3666666666666667
0.003,7,10,45732,21449,46.901513163649085,-5253.546919522698,-0.11487682409522211,0.3666666666666667
0.004,5,3,81613,45623,55.901633318221364,-5264.562121331747,-0.06450641590594326,0.275
0.003,6,10,45739,21453,46.90308052209274,-5463.246981766724,-0.11944395333887327,0.3666666666666667
0.003,5,10,45748,21449,46.88510973157297,-5840.908471331971,-0.12767571197280692,0.3666666666666667
0.003,8,5,69416,32618,46.989166762706006,-6921.087392552512,-0.09970449741489731,0.3666666666666667
0.003,7,5,69437,32617,46.97351556086812,-7212.20711996877,-0.10386691706105923,0.3666666666666667
0.0025,8,10,46842,19836,42.34661201485846,-7539.8971994663025,-0.16096445923458227,0.44
0.003,6,5,69455,32633,46.98437837448708,-7558.999648267938,-0.10883305231110701,0.3666666666666667
0.0025,7,10,46847,19840,42.350630776784,-7760.986712594638,-0.16566667476241037,0.44
0.0025,6,10,46854,19835,42.333632133862636,-8099.349158864991,-0.17286355826322175,0.44
0.003,5,5,69482,32641,46.97763449526496,-8163.7181468103245,-0.1174940005585666,0.3666666666666667
0.0025,5,10,46873,19853,42.35487380794914,-8569.578428685007,-0.18282547369882463,0.44
0.003,8,3,88909,41757,46.965998942739205,-8816.66488302372,-0.09916504384284741,0.3666666666666667
0.003,7,3,88934,41768,46.965165178671825,-9144.51388081045,-0.10282359818303967,0.3666666666666667
0.003,6,3,88962,41776,46.959375913311305,-9724.858284538002,-0.10931474432384616,0.3666666666666667
0.0025,8,5,71828,30815,42.90109706521134,-10084.228080039973,-0.14039410926156892,0.44
0.0025,7,5,71846,30817,42.89313253347438,-10527.126891418655,-0.14652349318568403,0.44
0.003,5,3,89022,41793,46.94682213385455,-10595.254371907924,-0.11901838165743214,0.3666666666666667
0.0025,6,5,71874,30821,42.88198792331024,-11150.427007126309,-0.15513853420049403,0.44
0.0025,5,5,71920,30863,42.91295884315907,-11967.03058446686,-0.16639363993975056,0.44
