symbol,rr,trades,wins,wr,total_r,avg_r
MINAUSDT,10,32,8,25.0,53.11,1.66
SUIUSDT,10,33,8,24.2,52.87,1.602
STGUSDT,10,24,7,29.2,49.54,2.064
GOATUSDT,9,22,7,31.8,46.32,2.105
ACTUSDT,8,24,8,33.3,45.95,1.915
ANIMEUSDT,10,29,7,24.1,45.08,1.554
MOVRUSDT,9,33,8,24.2,43.71,1.324
POWRUSDT,10,31,7,22.6,42.3,1.364
BROCCOLIUSDT,7,28,9,32.1,42.17,1.506
BANANAUSDT,9,37,8,21.6,40.57,1.096
HAEDALUSDT,7,29,9,31.0,40.47,1.395
FUSDT,9,19,6,31.6,39.48,2.078
MANTAUSDT,6,28,10,35.7,39.42,1.408
SPKUSDT,7,23,8,34.8,39.37,1.712
PNUTUSDT,10,35,7,20.0,39.05,1.116
EGLDUSDT,8,31,8,25.8,38.23,1.233
SUSHIUSDT,6,30,10,33.3,37.3,1.243
SWARMSUSDT,9,31,7,22.6,37.28,1.203
SKYUSDT,9,22,6,27.3,36.54,1.661
1000TOSHIUSDT,10,28,6,21.4,36.07,1.288
PHAUSDT,7,33,9,27.3,35.95,1.089
DYDXUSDT,6,38,11,28.9,35.6,0.937
ARKMUSDT,8,34,8,23.5,35.15,1.034
MEUSDT,9,32,7,21.9,34.74,1.086
INJUSDT,7,27,8,29.6,34.72,1.286
JUPUSDT,10,29,6,20.7,34.48,1.189
BERAUSDT,7,35,9,25.7,34.27,0.979
GRIFFAINUSDT,4,30,13,43.3,33.28,1.109
HBARUSDT,10,20,5,25.0,32.69,1.635
VANRYUSDT,10,31,6,19.4,32.47,1.047
TWTUSDT,9,34,7,20.6,31.98,0.94
HIVEUSDT,10,30,6,20.0,31.55,1.052
BOMEUSDT,9,27,6,22.2,30.89,1.144
LDOUSDT,8,30,7,23.3,30.77,1.026
MOVEUSDT,9,27,6,22.2,30.55,1.132
BELUSDT,8,30,7,23.3,30.5,1.017
RAREUSDT,10,32,6,18.8,30.27,0.946
KAITOUSDT,7,31,8,25.8,30.14,0.972
DOLOUSDT,10,24,5,20.8,29.9,1.246
DGBUSDT,9,28,6,21.4,29.07,1.038
1000NEIROCTOUSDT,4,29,12,41.4,28.96,0.999
USTCUSDT,10,24,5,20.8,28.9,1.204
