symbol,rr,trades,wins,wr,total_r,avg_r
SUIUSDT,10.0,33,8,24.2,52.87,1.602031447711475
MINAUSDT,10.0,33,8,24.2,51.99,1.5756021543331733
STGUSDT,10.0,24,7,29.2,49.54,2.064190615038868
GOATUSDT,9.0,22,7,31.8,46.32,2.105267428160682
ACTUSDT,8.0,24,8,33.3,45.95,1.9145573812622396
ANIMEUSDT,10.0,29,7,24.1,45.08,1.5544206812444985
MOVRUSDT,9.0,33,8,24.2,43.71,1.3244555748316102
POWRUSDT,10.0,31,7,22.6,42.3,1.3643832386587766
BROCCOLIUSDT,7.0,28,9,32.1,42.17,1.5062331919146088
HAEDALUSDT,7.0,28,9,32.1,41.56,1.4844013238930278
BANANAUSDT,9.0,37,8,21.6,40.08,1.0831304844086949
FUSDT,9.0,19,6,31.6,39.48,2.077772637445071
SPKUSDT,7.0,23,8,34.8,39.37,1.7116816858301118
PNUTUSDT,10.0,35,7,20.0,39.05,1.1157582182150434
MANTAUSDT,6.0,29,10,34.5,38.34,1.3219558399948186
EGLDUSDT,8.0,31,8,25.8,38.23,1.233249339646409
SUSHIUSDT,6.0,30,10,33.3,37.29,1.2430811751668869
SKYUSDT,9.0,22,6,27.3,36.54,1.6608016984324685
SWARMSUSDT,9.0,32,7,21.9,36.21,1.1316385279222987
1000TOSHIUSDT,10.0,28,6,21.4,36.07,1.2880426686481024
PHAUSDT,7.0,33,9,27.3,35.94,1.0891339881107425
DYDXUSDT,6.0,38,11,28.9,35.6,0.936944011242077
ARKMUSDT,8.0,34,8,23.5,35.15,1.0337413916602565
MEUSDT,9.0,32,7,21.9,34.74,1.0856166033867753
INJUSDT,7.0,27,8,29.6,34.72,1.2858203803013755
JUPUSDT,10.0,29,6,20.7,34.48,1.1888240738972746
BERAUSDT,7.0,35,9,25.7,34.27,0.9792209711459762
GRIFFAINUSDT,4.0,30,13,43.3,33.28,1.109466665261924
HBARUSDT,10.0,20,5,25.0,32.68,1.6337661090489823
VANRYUSDT,10.0,31,6,19.4,32.47,1.0473199702817204
TWTUSDT,9.0,34,7,20.6,31.98,0.9404676699408947
HIVEUSDT,10.0,30,6,20.0,31.55,1.0515061957225913
LDOUSDT,8.0,30,7,23.3,30.77,1.0258105920365437
MOVEUSDT,9.0,27,6,22.2,30.55,1.1315668156539755
BELUSDT,8.0,30,7,23.3,30.5,1.0165248164692595
RAREUSDT,10.0,32,6,18.8,30.27,0.9457988248362033
KAITOUSDT,7.0,31,8,25.8,30.14,0.9721309222896332
DOLOUSDT,10.0,24,5,20.8,29.9,1.2458387782305709
1000NEIROCTOUSDT,4.0,29,12,41.4,28.96,0.9986430934344782
USTCUSDT,10.0,24,5,20.8,28.9,1.2040143024936436
AEROUSDT,9.0,29,6,20.7,28.73,0.9906712857608326
DGBUSDT,9.0,29,6,20.7,28.45,0.9811949732091702
KSMUSDT,9.0,20,5,25.0,28.1,1.4051388786146262
TAIKOUSDT,7.0,25,7,28.0,28.1,1.1238116435055006
LSKUSDT,10.0,25,5,20.0,28.06,1.122284612731419
VELODROMEUSDT,10.0,34,6,17.6,28.06,0.825248472918152
ENJUSDT,9.0,29,6,20.7,28.02,0.9663153692578794
FLUXUSDT,10.0,25,5,20.0,27.53,1.1013190137487467
KASUSDT,9.0,30,6,20.0,27.35,0.9117984059907093
ICPUSDT,6.0,26,8,30.8,27.19,1.0456552384808098
GRTUSDT,8.0,32,7,21.9,27.14,0.8481846804194336
RLCUSDT,8.0,25,6,24.0,27.11,1.0844879308667184
FIDAUSDT,7.0,27,7,25.9,26.5,0.9813705547301808
PYTHUSDT,5.0,20,8,40.0,26.26,1.313077212980034
SYSUSDT,9.0,31,6,19.4,26.07,0.8410673291417273
SOPHUSDT,6.0,34,9,26.5,25.88,0.7611253592952498
AAVEUSDT,8.0,34,7,20.6,25.59,0.7527018295462261
BABYUSDT,10.0,27,5,18.5,25.39,0.940551723588359
FLOCKUSDT,6.0,29,8,27.6,25.28,0.8716656097004946
RONINUSDT,7.0,27,7,25.9,25.17,0.9323382050343402
ADAUSDT,7.0,28,7,25.0,25.02,0.8936983262313855
AIXBTUSDT,10.0,28,5,17.9,24.93,0.8903501082915641
BRETTUSDT,6.0,23,7,30.4,24.65,1.071565480330939
SLPUSDT,8.0,35,7,20.0,24.55,0.701477772620054
NEARUSDT,7.0,29,7,24.1,24.36,0.8399522821985964
LRCUSDT,7.0,29,7,24.1,24.22,0.8350219270591877
ASTERUSDT,9.0,15,4,26.7,24.17,1.6111085060738752
MELANIAUSDT,4.0,24,10,41.7,23.95,0.9978209380542822
BTCUSDT,8.0,23,6,26.1,23.94,1.040969560949954
SOLAYERUSDT,10.0,28,5,17.9,23.76,0.8486821798959105
VELOUSDT,7.0,23,6,26.1,23.29,1.0126875527442991
RAYDIUMUSDT,8.0,20,5,25.0,23.08,1.1542309699048936
SYNUSDT,9.0,25,5,20.0,22.69,0.9074607390577003
BOBAUSDT,10.0,30,5,16.7,22.49,0.7495100303428247
ONDOUSDT,9.0,34,6,17.6,22.36,0.657742225793447
OMUSDT,7.0,31,7,22.6,22.1,0.7130325803992187
UBUSDT,9.0,17,4,23.5,22.03,1.2959637674287932
ANKRUSDT,9.0,25,5,20.0,21.98,0.8790865716616365
BOMEUSDT,9.0,26,5,19.2,21.95,0.8441087305518375
BIOUSDT,5.0,30,9,30.0,21.68,0.722509246896492
STEEMUSDT,10.0,30,5,16.7,20.76,0.6921329177984286
DOGEUSDT,6.0,32,8,25.0,20.41,0.6377329472458779
RENDERUSDT,9.0,27,5,18.5,20.4,0.7554350088850875
ASTRUSDT,8.0,22,5,22.7,20.31,0.9229823542103252
