symbol,rr,profitable_periods,total_periods,consistency,avg_r_per_period,total_r_all_periods
GOATUSDT,9.0,3,3,3/3,26.0,78.1
MINAUSDT,10.0,3,3,3/3,24.9,74.7
HBARUSDT,10.0,3,3,3/3,23.0,69.1
BANANAUSDT,9.0,3,3,3/3,22.6,67.9
STGUSDT,10.0,2,3,2/3,18.4,55.3
SUSHIUSDT,6.0,3,3,3/3,17.0,50.9
1000NEIROCTOUSDT,4.0,3,3,3/3,16.5,49.4
BELUSDT,8.0,3,3,3/3,16.3,48.8
POWRUSDT,10.0,2,3,2/3,16.2,48.5
TAIKOUSDT,7.0,3,3,3/3,15.9,47.8
SOLAYERUSDT,10.0,2,2,2/2,23.8,47.7
GRIFFAINUSDT,4.0,2,2,2/2,22.8,45.6
SXPUSDT,8.0,3,3,3/3,15.0,45.0
ANIMEUSDT,10.0,2,2,2/2,21.8,43.6
SLPUSDT,8.0,3,3,3/3,14.4,43.2
MOVEUSDT,9.0,2,2,2/2,21.3,42.5
KASUSDT,9.0,2,3,2/3,14.1,42.4
SYNUSDT,9.0,2,3,2/3,14.0,42.0
KAITOUSDT,7.0,2,2,2/2,20.8,41.5
TUSDT,10.0,3,3,3/3,13.8,41.3
PORTALUSDT,8.0,3,3,3/3,13.7,41.0
RONINUSDT,7.0,2,2,2/2,20.1,40.2
RAREUSDT,10.0,3,3,3/3,12.9,38.7
DEEPUSDT,4.0,3,3,3/3,12.9,38.6
MANTAUSDT,6.0,2,3,2/3,12.1,36.4
ENJUSDT,9.0,2,3,2/3,11.8,35.3
VELODROMEUSDT,10.0,2,2,2/2,17.0,34.0
LINKUSDT,9.0,3,3,3/3,10.9,32.8
MOVRUSDT,9.0,2,3,2/3,10.9,32.7
USUALUSDT,7.0,2,2,2/2,15.6,31.1
FLOCKUSDT,6.0,2,2,2/2,15.4,30.8
SYSUSDT,9.0,3,3,3/3,10.2,30.7
ARKMUSDT,8.0,2,3,2/3,10.0,30.1
EGLDUSDT,8.0,2,3,2/3,10.0,29.9
HIVEUSDT,10.0,2,2,2/2,14.8,29.7
BRETTUSDT,6.0,3,3,3/3,9.8,29.4
VANRYUSDT,10.0,2,3,2/3,9.5,28.6
KSMUSDT,9.0,3,3,3/3,9.4,28.1
VELOUSDT,7.0,2,3,2/3,9.2,27.7
BABYUSDT,10.0,2,2,2/2,13.4,26.8
GIGAUSDT,6.0,2,2,2/2,13.4,26.8
ICPUSDT,6.0,2,3,2/3,8.9,26.7
GRTUSDT,8.0,2,3,2/3,8.8,26.4
ANKRUSDT,9.0,2,3,2/3,8.6,25.7
PENGUUSDT,4.0,2,2,2/2,12.7,25.4
AIXBTUSDT,10.0,2,2,2/2,12.5,25.1
SUIUSDT,10.0,2,3,2/3,8.2,24.4
AAVEUSDT,8.0,2,3,2/3,7.4,22.3
DYDXUSDT,6.0,2,3,2/3,7.1,21.4
DGBUSDT,9.0,2,3,2/3,7.0,21.0
1000TOSHIUSDT,10.0,2,2,2/2,10.0,19.9
AEROUSDT,9.0,2,3,2/3,6.6,19.8
BOBAUSDT,10.0,2,3,2/3,5.4,16.3
BIOUSDT,5.0,2,2,2/2,7.9,15.8
PYTHUSDT,5.0,2,3,2/3,5.3,15.8
ASTRUSDT,8.0,2,3,2/3,4.9,14.8
FLUXUSDT,10.0,2,3,2/3,4.8,14.4
DOGEUSDT,6.0,2,3,2/3,4.0,12.0
USTCUSDT,10.0,2,3,2/3,2.9,8.8
MANAUSDT,5.0,2,3,2/3,2.7,8.0
1INCHUSDT,9.0,2,3,2/3,1.0,2.9
BOMEUSDT,9.0,2,3,2/3,0.4,1.2
NEARUSDT,7.0,2,3,2/3,0.0,0.0
