symbol,best_rr,total_r,win_rate,trades,avg_r,profitable
ADAUSDT,1.5,-47.96,0.329,79,-0.607,False
ARBUSDT,2.5,-15.6,0.315,54,-0.289,False
AVAXUSDT,2.5,-18.88,0.357,70,-0.27,False
BCHUSDT,1.5,-36.34,0.408,76,-0.478,False
DASHUSDT,3.5,21.88,0.343,67,0.327,True
DOGEUSDT,1.5,-60.23,0.344,93,-0.648,False
DOTUSDT,1.5,-37.93,0.395,86,-0.441,False
ENAUSDT,1.5,-25.04,0.375,64,-0.391,False
ETCUSDT,3.0,-64.01,0.235,98,-0.653,False
FLOWUSDT,2.0,-36.34,0.294,51,-0.713,False
GALAUSDT,1.5,-29.2,0.389,72,-0.406,False
GASUSDT,5.0,-41.41,0.155,58,-0.714,False
LINKUSDT,1.5,-43.85,0.36,86,-0.51,False
LTCUSDT,5.0,-18.89,0.209,67,-0.282,False
NEARUSDT,3.0,-6.6,0.308,65,-0.101,False
NTRNUSDT,4.5,-23.69,0.175,57,-0.416,False
OPUSDT,1.5,-32.77,0.37,73,-0.449,False
PAXGUSDT,1.5,-278.16,0.09,78,-3.566,False
SEIUSDT,1.5,-9.51,0.49,51,-0.186,False
STRKUSDT,5.0,-3.58,0.2,60,-0.06,False
TRUUSDT,2.0,-10.9,0.415,53,-0.206,False
TRXUSDT,5.0,-148.0,0.134,82,-1.805,False
VIRTUALUSDT,5.0,-14.21,0.177,79,-0.18,False
XLMUSDT,5.0,-44.52,0.159,82,-0.543,False
