/Users/lualakol/Library/Python/3.9/lib/python/site-packages/pandas_ta/__init__.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
2025-12-04 20:30:04,537 - 🚀 Starting BB Squeeze Backtest on 400 symbols
2025-12-04 20:30:04,537 - 📊 Strategy: Bollinger Band Squeeze Breakout
2025-12-04 20:30:04,538 - ⚙️ Settings: BB(20,2.0), Squeeze<20%, MIN_WR=35.0%
2025-12-04 20:30:05,876 - [1/400] 0GUSDT ⚠️ No valid setup
2025-12-04 20:30:07,646 - [2/400] 1000000BABYDOGEUSDT ⚠️ No valid setup
2025-12-04 20:30:09,198 - [3/400] 1000000CHEEMSUSDT ⚠️ No valid setup
2025-12-04 20:30:10,029 - [4/400] 1000000MOGUSDT ⚠️ No valid setup
2025-12-04 20:30:11,369 - [5/400] 10000ELONUSDT ⚠️ No valid setup
2025-12-04 20:30:12,774 - [6/400] 10000QUBICUSDT ⚠️ No valid setup
2025-12-04 20:30:14,241 - [7/400] 10000SATSUSDT ⚠️ No valid setup
2025-12-04 20:30:15,579 - [8/400] 1000BONKUSDT ⚠️ No valid setup
2025-12-04 20:30:16,916 - [9/400] 1000BTTUSDT ⚠️ No valid setup
2025-12-04 20:30:18,378 - [10/400] 1000CATUSDT ⚠️ No valid setup
2025-12-04 20:30:18,957 - [11/400] 1000FLOKIUSDT ⚠️ No valid setup
2025-12-04 20:30:20,286 - [12/400] 1000LUNCUSDT ⚠️ No valid setup
2025-12-04 20:30:21,917 - [13/400] 1000NEIROCTOUSDT ⚠️ No valid setup
2025-12-04 20:30:23,370 - [14/400] 1000PEPEUSDT ⚠️ No valid setup
2025-12-04 20:30:25,164 - [15/400] 1000RATSUSDT ⚠️ No valid setup
2025-12-04 20:30:25,753 - [16/400] 1000TAGUSDT ⚠️ No valid setup
2025-12-04 20:30:27,380 - [17/400] 1000TOSHIUSDT ⚠️ No valid setup
2025-12-04 20:30:29,757 - [18/400] 1000TURBOUSDT ⚠️ No valid setup
2025-12-04 20:30:31,491 - [19/400] 1000XECUSDT ⚠️ No valid setup
2025-12-04 20:30:32,316 - [20/400] 1000XUSDT ⚠️ No valid setup
2025-12-04 20:30:33,765 - [21/400] 1INCHUSDT ⚠️ No valid setup
2025-12-04 20:30:35,492 - [22/400] 2ZUSDT ⚠️ No valid setup
2025-12-04 20:30:36,981 - [23/400] 4USDT ⚠️ No valid setup
2025-12-04 20:30:38,431 - [24/400] A2ZUSDT ⚠️ No valid setup
2025-12-04 20:30:39,815 - [25/400] AAVEUSDT ⚠️ No valid setup
2025-12-04 20:30:40,401 - [26/400] ACEUSDT ⚠️ No valid setup
2025-12-04 20:30:41,726 - [27/400] ACHUSDT ⚠️ No valid setup
2025-12-04 20:30:43,235 - [28/400] ACTUSDT ⚠️ No valid setup
2025-12-04 20:30:43,966 - [29/400] ACXUSDT ⚠️ No valid setup
2025-12-04 20:30:44,817 - [30/400] ADAUSDT ⚠️ No valid setup
2025-12-04 20:30:46,192 - [31/400] AERGOUSDT ⚠️ No valid setup
2025-12-04 20:30:47,712 - [32/400] AEROUSDT ⚠️ No valid setup
2025-12-04 20:30:48,322 - [33/400] AEVOUSDT ⚠️ No valid setup
2025-12-04 20:30:50,118 - [34/400] AGIUSDT ⚠️ No valid setup
2025-12-04 20:30:50,755 - [35/400] AGLDUSDT ⚠️ No valid setup
2025-12-04 20:30:51,531 - [36/400] AIAUSDT ⚠️ No valid setup
2025-12-04 20:30:52,466 - [37/400] AINUSDT ⚠️ No valid setup
2025-12-04 20:30:53,108 - [38/400] AIOUSDT ⚠️ No valid setup
2025-12-04 20:30:53,718 - [39/400] AIOZUSDT ⚠️ No valid setup
2025-12-04 20:30:54,547 - [40/400] AIXBTUSDT ⚠️ No valid setup
2025-12-04 20:30:55,900 - [41/400] AKEUSDT ⚠️ No valid setup
2025-12-04 20:30:56,853 - [42/400] AKTUSDT ⚠️ No valid setup
2025-12-04 20:30:58,226 - [43/400] ALCHUSDT ⚠️ No valid setup
2025-12-04 20:30:58,822 - [44/400] ALEOUSDT ⚠️ No valid setup
2025-12-04 20:31:00,317 - [45/400] ALGOUSDT ⚠️ No valid setup
2025-12-04 20:31:01,654 - [46/400] ALICEUSDT ⚠️ No valid setup
2025-12-04 20:31:02,984 - [47/400] ALLOUSDT ⚠️ No valid setup
2025-12-04 20:31:03,556 - [48/400] ALPINEUSDT ⚠️ No valid setup
2025-12-04 20:31:04,388 - [49/400] ALTUSDT ⚠️ No valid setup
2025-12-04 20:31:05,716 - [50/400] ALUUSDT ⚠️ No valid setup
2025-12-04 20:31:06,609 - [51/400] ANIMEUSDT ⚠️ No valid setup
2025-12-04 20:31:07,953 - [52/400] ANKRUSDT ⚠️ No valid setup
2025-12-04 20:31:08,557 - [53/400] APEUSDT ⚠️ No valid setup
2025-12-04 20:31:09,480 - [54/400] APEXUSDT ⚠️ No valid setup
2025-12-04 20:31:10,098 - [55/400] API3USDT ⚠️ No valid setup
2025-12-04 20:31:10,928 - [56/400] APRUSDT ⚠️ No valid setup
2025-12-04 20:31:12,279 - [57/400] APTUSDT ⚠️ No valid setup
2025-12-04 20:31:13,815 - [58/400] ARBUSDT ⚠️ No valid setup
2025-12-04 20:31:14,792 - [59/400] ARCUSDT ⚠️ No valid setup
2025-12-04 20:31:16,148 - [60/400] ARIAUSDT ⚠️ No valid setup
2025-12-04 20:31:16,731 - [61/400] ARKMUSDT ⚠️ No valid setup
2025-12-04 20:31:17,362 - [62/400] ARKUSDT ⚠️ No valid setup
2025-12-04 20:31:17,943 - [63/400] ARPAUSDT ⚠️ No valid setup
