/Users/lualakol/Library/Python/3.9/lib/python/site-packages/pandas_ta/__init__.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
2025-12-05 18:25:16,788 - 🚀 Starting EMA Scalp Backtest on 400 symbols
2025-12-05 18:25:16,788 - 📊 Strategy: 9/21 EMA Crossover + RSI(40-60) + VWAP
2025-12-05 18:25:16,788 - ⚙️ Settings: 60 days, MIN_TRADES=5, MIN_WR=35.0%
2025-12-05 18:25:17,550 - [1/400] 0GUSDT ⚠️ No valid setup
2025-12-05 18:25:18,360 - [2/400] 1000000BABYDOGEUSDT ⚠️ No valid setup
2025-12-05 18:25:19,959 - [3/400] 1000000CHEEMSUSDT ⚠️ No valid setup
2025-12-05 18:25:20,755 - [4/400] 1000000MOGUSDT ⚠️ No valid setup
2025-12-05 18:25:22,319 - [5/400] 10000ELONUSDT ⚠️ No valid setup
2025-12-05 18:25:23,852 - [6/400] 10000QUBICUSDT ⚠️ No valid setup
2025-12-05 18:25:24,626 - [7/400] 10000SATSUSDT ⚠️ No valid setup
2025-12-05 18:25:25,398 - [8/400] 1000BONKUSDT ⚠️ No valid setup
2025-12-05 18:25:26,174 - [9/400] 1000BTTUSDT ⚠️ No valid setup
2025-12-05 18:25:27,736 - [10/400] 1000CATUSDT ⚠️ No valid setup
2025-12-05 18:25:28,533 - [11/400] 1000FLOKIUSDT ⚠️ No valid setup
2025-12-05 18:25:29,385 - [12/400] 1000LUNCUSDT ⚠️ No valid setup
2025-12-05 18:25:30,460 - [13/400] 1000NEIROCTOUSDT ⚠️ No valid setup
2025-12-05 18:25:31,308 - [14/400] 1000PEPEUSDT ⚠️ No valid setup
2025-12-05 18:25:32,143 - [15/400] 1000RATSUSDT ⚠️ No valid setup
2025-12-05 18:25:32,990 - [16/400] 1000TAGUSDT ⚠️ No valid setup
2025-12-05 18:25:34,297 - [17/400] 1000TOSHIUSDT ⚠️ No valid setup
2025-12-05 18:25:35,169 - [18/400] 1000TURBOUSDT ⚠️ No valid setup
2025-12-05 18:25:35,968 - [19/400] 1000XECUSDT ⚠️ No valid setup
2025-12-05 18:25:36,760 - [20/400] 1000XUSDT ⚠️ No valid setup
2025-12-05 18:25:37,540 - [21/400] 1INCHUSDT ⚠️ No valid setup
2025-12-05 18:25:38,327 - [22/400] 2ZUSDT ⚠️ No valid setup
2025-12-05 18:25:39,133 - [23/400] 4USDT ⚠️ No valid setup
2025-12-05 18:25:41,000 - [24/400] A2ZUSDT ⚠️ No valid setup
2025-12-05 18:25:42,833 - [25/400] AAVEUSDT ⚠️ No valid setup
2025-12-05 18:25:43,625 - [26/400] ACEUSDT ⚠️ No valid setup
2025-12-05 18:25:45,216 - [27/400] ACHUSDT ⚠️ No valid setup
2025-12-05 18:25:46,046 - [28/400] ACTUSDT ⚠️ No valid setup
2025-12-05 18:25:46,907 - [29/400] ACXUSDT ⚠️ No valid setup
2025-12-05 18:25:48,100 - [30/400] ADAUSDT ⚠️ No valid setup
2025-12-05 18:25:48,877 - [31/400] AERGOUSDT ⚠️ No valid setup
2025-12-05 18:25:49,654 - [32/400] AEROUSDT ⚠️ No valid setup
2025-12-05 18:25:50,437 - [33/400] AEVOUSDT ⚠️ No valid setup
2025-12-05 18:25:51,973 - [34/400] AGIUSDT ⚠️ No valid setup
2025-12-05 18:25:52,748 - [35/400] AGLDUSDT ⚠️ No valid setup
2025-12-05 18:25:53,532 - [36/400] AIAUSDT ⚠️ No valid setup
2025-12-05 18:25:54,560 - [37/400] AINUSDT ⚠️ No valid setup
2025-12-05 18:25:55,376 - [38/400] AIOUSDT ⚠️ No valid setup
2025-12-05 18:25:56,914 - [39/400] AIOZUSDT ⚠️ No valid setup
2025-12-05 18:25:58,442 - [40/400] AIXBTUSDT ⚠️ No valid setup
2025-12-05 18:25:59,533 - [41/400] AKEUSDT ⚠️ No valid setup
2025-12-05 18:26:00,711 - [42/400] AKTUSDT ⚠️ No valid setup
2025-12-05 18:26:02,263 - [43/400] ALCHUSDT ⚠️ No valid setup
2025-12-05 18:26:03,057 - [44/400] ALEOUSDT ⚠️ No valid setup
2025-12-05 18:26:03,842 - [45/400] ALGOUSDT ⚠️ No valid setup
2025-12-05 18:26:04,629 - [46/400] ALICEUSDT ⚠️ No valid setup
2025-12-05 18:26:05,404 - [47/400] ALLOUSDT ⚠️ No valid setup
2025-12-05 18:26:06,185 - [48/400] ALPINEUSDT ⚠️ No valid setup
2025-12-05 18:26:06,973 - [49/400] ALTUSDT ⚠️ No valid setup
2025-12-05 18:26:07,766 - [50/400] ALUUSDT ⚠️ No valid setup
2025-12-05 18:26:09,567 - [51/400] ANIMEUSDT ⚠️ No valid setup
2025-12-05 18:26:10,369 - [52/400] ANKRUSDT ⚠️ No valid setup
2025-12-05 18:26:11,153 - [53/400] APEUSDT ⚠️ No valid setup
2025-12-05 18:26:11,939 - [54/400] APEXUSDT ⚠️ No valid setup
2025-12-05 18:26:12,829 - [55/400] API3USDT ⚠️ No valid setup
2025-12-05 18:26:13,615 - [56/400] APRUSDT ⚠️ No valid setup
2025-12-05 18:26:15,410 - [57/400] APTUSDT ⚠️ No valid setup
2025-12-05 18:26:16,198 - [58/400] ARBUSDT ⚠️ No valid setup
2025-12-05 18:26:17,056 - [59/400] ARCUSDT ⚠️ No valid setup
2025-12-05 18:26:18,592 - [60/400] ARIAUSDT ⚠️ No valid setup
2025-12-05 18:26:19,374 - [61/400] ARKMUSDT ⚠️ No valid setup
2025-12-05 18:26:20,182 - [62/400] ARKUSDT ⚠️ No valid setup
2025-12-05 18:26:20,963 - [63/400] ARPAUSDT ⚠️ No valid setup
2025-12-05 18:26:22,498 - [64/400] ARUSDT ⚠️ No valid setup
2025-12-05 18:26:23,275 - [65/400] ASPUSDT ⚠️ No valid setup
2025-12-05 18:26:24,075 - [66/400] ASRUSDT ⚠️ No valid setup
2025-12-05 18:26:24,863 - [67/400] ASTERUSDT ⚠️ No valid setup
2025-12-05 18:26:26,390 - [68/400] ASTRUSDT ⚠️ No valid setup
2025-12-05 18:26:27,944 - [69/400] ATHUSDT ⚠️ No valid setup
2025-12-05 18:26:29,487 - [70/400] ATOMUSDT ⚠️ No valid setup
2025-12-05 18:26:30,269 - [71/400] ATUSDT ⚠️ No valid setup
2025-12-05 18:26:31,073 - [72/400] AUCTIONUSDT ⚠️ No valid setup
2025-12-05 18:26:32,613 - [73/400] AUSDT ⚠️ No valid setup
2025-12-05 18:26:33,430 - [74/400] AVAAIUSDT ⚠️ No valid setup
2025-12-05 18:26:34,991 - [75/400] AVAUSDT ⚠️ No valid setup
2025-12-05 18:26:35,782 - [76/400] AVAXUSDT ⚠️ No valid setup
2025-12-05 18:26:36,595 - [77/400] AVLUSDT ⚠️ No valid setup
2025-12-05 18:26:37,404 - [78/400] AVNTUSDT ⚠️ No valid setup
2025-12-05 18:26:38,229 - [79/400] AWEUSDT ⚠️ No valid setup
2025-12-05 18:26:39,016 - [80/400] AXLUSDT ⚠️ No valid setup
2025-12-05 18:26:39,821 - [81/400] AXSUSDT ⚠️ No valid setup
2025-12-05 18:26:40,606 - [82/400] B2USDT ⚠️ No valid setup
2025-12-05 18:26:42,148 - [83/400] B3USDT ⚠️ No valid setup
2025-12-05 18:26:42,937 - [84/400] BABYUSDT ⚠️ No valid setup
2025-12-05 18:26:44,490 - [85/400] BANANAS31USDT ⚠️ No valid setup
2025-12-05 18:26:46,044 - [86/400] BANANAUSDT ⚠️ No valid setup
2025-12-05 18:26:46,840 - [87/400] BANDUSDT ⚠️ No valid setup
2025-12-05 18:26:48,383 - [88/400] BANKUSDT ⚠️ No valid setup
2025-12-05 18:26:49,938 - [89/400] BANUSDT ⚠️ No valid setup
2025-12-05 18:26:50,726 - [90/400] BARDUSDT ⚠️ No valid setup
2025-12-05 18:26:51,524 - [91/400] BATUSDT ⚠️ No valid setup
2025-12-05 18:26:52,305 - [92/400] BBUSDT ⚠️ No valid setup
2025-12-05 18:26:53,121 - [93/400] BCHUSDT ⚠️ No valid setup
2025-12-05 18:26:53,934 - [94/400] BEAMUSDT ⚠️ No valid setup
2025-12-05 18:26:54,729 - [95/400] BEATUSDT ⚠️ No valid setup
2025-12-05 18:26:55,521 - [96/400] BELUSDT ⚠️ No valid setup
2025-12-05 18:26:56,306 - [97/400] BERAUSDT ⚠️ No valid setup
2025-12-05 18:26:58,100 - [98/400] BICOUSDT ⚠️ No valid setup
2025-12-05 18:26:58,882 - [99/400] BIGTIMEUSDT ⚠️ No valid setup
2025-12-05 18:26:59,665 - [100/400] BIOUSDT ⚠️ No valid setup
2025-12-05 18:27:00,446 - [101/400] BLASTUSDT ⚠️ No valid setup
2025-12-05 18:27:01,218 - [102/400] BLESSUSDT ⚠️ No valid setup
2025-12-05 18:27:01,993 - [103/400] BLUAIUSDT ⚠️ No valid setup
