symbol,rr,train_r,train_trades,train_wr,test_r,test_trades,test_wr,total_r,total_trades,total_wr,avg_r,max_dd,mc_score
SUIUSDT,10,40.07,14,35.7,12.8,19,15.8,52.87,33,24.2,1.602,8.8,100.0
MINAUSDT,10,32.92,20,25.0,19.58,13,23.1,52.49,33,24.2,1.591,8.84,100.0
GOATUSDT,9,36.07,13,38.5,10.24,9,22.2,46.32,22,31.8,2.105,5.33,100.0
ANIMEUSDT,10,24.89,17,23.5,20.19,12,25.0,45.08,29,24.1,1.554,5.93,100.0
MOVRUSDT,9,29.04,19,26.3,14.67,14,21.4,43.71,33,24.2,1.324,8.9,100.0
POWRUSDT,10,28.03,14,28.6,14.26,17,17.6,42.3,31,22.6,1.364,8.99,100.0
BROCCOLIUSDT,8,21.26,14,28.6,20.92,14,28.6,42.17,28,28.6,1.506,7.51,100.0
HAEDALUSDT,7,22.77,16,31.2,18.79,12,33.3,41.56,28,32.1,1.484,6.46,100.0
MANTAUSDT,6,21.28,19,31.6,18.14,9,44.4,39.42,28,35.7,1.408,7.55,100.0
EGLDUSDT,8,35.76,17,35.3,2.47,14,14.3,38.23,31,25.8,1.233,11.08,100.0
SUSHIUSDT,6,25.71,15,40.0,11.6,15,26.7,37.3,30,33.3,1.243,7.66,100.0
SWARMSUSDT,9,19.9,19,21.1,17.38,12,25.0,37.28,31,22.6,1.203,7.29,100.0
SKYUSDT,9,9.75,10,20.0,26.79,12,33.3,36.54,22,27.3,1.661,5.45,100.0
1000TOSHIUSDT,10,33.64,20,25.0,2.43,8,12.5,36.07,28,21.4,1.288,7.49,100.0
PHAUSDT,7,24.96,21,28.6,10.99,12,25.0,35.95,33,27.3,1.089,7.48,100.0
DYDXUSDT,6,31.87,22,36.4,3.73,16,18.8,35.6,38,28.9,0.937,8.57,100.0
MEUSDT,9,24.69,23,21.7,10.05,9,22.2,34.74,32,21.9,1.086,13.02,100.0
JUPUSDT,10,13.51,18,16.7,20.97,11,27.3,34.48,29,20.7,1.189,7.59,100.0
GRIFFAINUSDT,4,20.89,18,44.4,12.4,12,41.7,33.28,30,43.3,1.109,3.22,100.0
HBARUSDT,10,9.76,11,18.2,22.93,9,33.3,32.69,20,25.0,1.635,10.06,100.0
TWTUSDT,9,24.86,22,22.7,7.12,12,16.7,31.98,34,20.6,0.94,9.3,100.0
LDOUSDT,8,16.5,18,22.2,14.28,12,25.0,30.77,30,23.3,1.026,6.51,100.0
BELUSDT,8,22.12,21,23.8,8.37,9,22.2,30.5,30,23.3,1.017,13.14,100.0
DOLOUSDT,10,8.8,13,15.4,21.6,11,27.3,30.4,24,20.8,1.267,12.27,100.0
KAITOUSDT,7,20.28,18,27.8,9.85,13,23.1,30.14,31,25.8,0.972,8.71,100.0
DGBUSDT,9,19.96,18,22.2,9.11,10,20.0,29.07,28,21.4,1.038,15.12,100.0
1000NEIROCTOUSDT,4,17.57,21,38.1,11.39,8,50.0,28.96,29,41.4,0.999,3.29,100.0
USTCUSDT,10,21.91,10,30.0,6.98,14,14.3,28.9,24,20.8,1.204,6.45,100.0
AEROUSDT,9,10.67,18,16.7,18.06,11,27.3,28.73,29,20.7,0.991,9.61,100.0
LSKUSDT,10,11.16,10,20.0,16.9,15,20.0,28.06,25,20.0,1.122,6.35,100.0
ENJUSDT,9,11.23,17,17.6,16.79,12,25.0,28.02,29,20.7,0.966,10.01,100.0
ICPUSDT,6,24.16,16,37.5,3.03,10,20.0,27.19,26,30.8,1.046,5.49,100.0
BANANAUSDT,10,22.29,20,20.0,3.79,17,11.8,26.08,37,16.2,0.705,15.02,100.0
SYSUSDT,9,10.37,18,16.7,15.7,13,23.1,26.07,31,19.4,0.841,10.8,100.0
VELODROMEUSDT,7,13.03,17,23.5,13.03,17,23.5,26.06,34,23.5,0.766,11.04,100.0
SOPHUSDT,6,7.21,19,21.1,18.67,15,33.3,25.88,34,26.5,0.761,6.74,100.0
ADAUSDT,7,23.29,15,33.3,2.23,13,15.4,25.52,28,25.0,0.912,11.62,100.0
FLOCKUSDT,6,17.06,17,29.4,8.22,12,25.0,25.28,29,27.6,0.872,6.32,100.0
RONINUSDT,7,12.5,17,23.5,12.67,10,30.0,25.17,27,25.9,0.932,12.68,100.0
AIXBTUSDT,10,12.6,19,15.8,12.33,9,22.2,24.93,28,17.9,0.89,10.87,100.0
NEARUSDT,7,16.05,15,26.7,8.81,14,21.4,24.86,29,24.1,0.857,8.6,100.0
BRETTUSDT,6,10.45,10,30.0,14.19,13,30.8,24.65,23,30.4,1.072,4.29,100.0
SLPUSDT,8,5.11,20,15.0,19.44,15,26.7,24.55,35,20.0,0.701,9.85,100.0
FIDAUSDT,8,20.78,14,28.6,3.72,13,15.4,24.5,27,22.2,0.907,12.0,100.0
LRCUSDT,7,8.63,14,21.4,15.58,15,26.7,24.22,29,24.1,0.835,7.62,100.0
VELOUSDT,7,17.93,13,30.8,5.37,10,20.0,23.29,23,26.1,1.013,8.53,100.0
RAYDIUMUSDT,8,15.0,11,27.3,8.08,9,22.2,23.08,20,25.0,1.154,7.67,100.0
SYNUSDT,9,15.89,13,23.1,6.79,12,16.7,22.68,25,20.0,0.907,13.0,100.0
OMUSDT,7,18.13,20,25.0,3.97,11,18.2,22.1,31,22.6,0.713,7.83,100.0
ANKRUSDT,9,15.32,13,23.1,6.66,12,16.7,21.98,25,20.0,0.879,8.9,100.0
BOBAUSDT,10,4.21,16,12.5,17.22,15,20.0,21.44,31,16.1,0.692,10.84,100.0
ASTRUSDT,8,6.86,10,20.0,13.45,12,25.0,20.31,22,22.7,0.923,5.58,100.0
1INCHUSDT,9,14.45,14,21.4,5.77,13,15.4,20.21,27,18.5,0.749,8.75,100.0
HIPPOUSDT,9,12.83,16,18.8,7.28,12,16.7,20.1,28,17.9,0.718,10.72,100.0
PENGUUSDT,4,7.93,16,31.2,12.16,12,41.7,20.1,28,35.7,0.718,4.56,100.0
PORTALUSDT,8,6.74,19,15.8,13.18,13,23.1,19.92,32,18.8,0.623,9.52,100.0
DEEPUSDT,4,13.69,15,40.0,6.03,13,30.8,19.72,28,35.7,0.704,5.76,100.0
GRTUSDT,4,15.36,22,36.4,4.28,10,30.0,19.64,32,34.4,0.614,5.54,100.0
HYPERUSDT,5,11.76,17,29.4,7.81,15,26.7,19.57,32,28.1,0.612,6.55,100.0
TUSDT,10,6.73,23,13.0,12.76,8,25.0,19.48,31,16.1,0.628,10.75,100.0
ENAUSDT,8,3.18,14,14.3,15.28,11,27.3,18.46,25,20.0,0.738,10.49,100.0
BABYUSDT,5,11.54,17,29.4,6.85,10,30.0,18.39,27,29.6,0.681,6.34,100.0
NSUSDT,10,7.93,13,15.4,10.19,11,18.2,18.11,24,16.7,0.755,10.77,100.0
COTIUSDT,10,7.75,13,15.4,9.69,12,16.7,17.44,25,16.0,0.698,8.72,100.0
ONEUSDT,6,10.41,16,25.0,6.9,13,23.1,17.31,29,24.1,0.597,8.35,100.0
COREUSDT,6,14.45,12,33.3,2.15,11,18.2,16.6,23,26.1,0.722,5.3,100.0
PROVEUSDT,5,13.26,10,40.0,3.3,8,25.0,16.55,18,33.3,0.92,8.69,100.0
IOSTUSDT,5,8.01,14,28.6,7.99,9,33.3,16.0,23,30.4,0.696,5.88,100.0
GPSUSDT,7,4.64,11,18.2,11.17,12,25.0,15.81,23,21.7,0.687,6.45,100.0
ARUSDT,8,9.52,16,18.8,5.17,12,16.7,14.69,28,17.9,0.525,7.57,100.0
FLUXUSDT,6,12.45,14,28.6,2.08,11,18.2,14.53,25,24.0,0.581,7.59,100.0
AUCTIONUSDT,8,6.83,18,16.7,7.68,10,20.0,14.5,28,17.9,0.518,6.61,100.0
