symbol,status,current_r,new_r,diff,current_cfg,new_best_cfg,new_total_r,new_wr
SUSDT,MISSING,N/A,N/A,0.0,,,,
PAXGUSDT,MISSING,N/A,N/A,0.0,,,,
HOLOUSDT,MISSING,N/A,N/A,0.0,,,,
PUMPFUNUSDT,MISSING,N/A,N/A,0.0,,,,
CELOUSDT,MISSING,N/A,N/A,0.0,,,,
XPLUSDT,MISSING,N/A,N/A,0.0,,,,
PYTHUSDT,MISSING,N/A,N/A,0.0,,,,
SOMIUSDT,MISSING,N/A,N/A,0.0,,,,
POLUSDT,MISSING,N/A,N/A,0.0,,,,
CTCUSDT,MISSING,N/A,N/A,0.0,,,,
XAUTUSDT,MISSING,N/A,N/A,0.0,,,,
BUSDT,MISSING,N/A,N/A,0.0,,,,
ZECUSDT,MISSING,N/A,N/A,0.0,,,,
BERAUSDT,MISSING,N/A,N/A,0.0,,,,
SOONUSDT,MISSING,N/A,N/A,0.0,,,,
PLUMEUSDT,MISSING,N/A,N/A,0.0,,,,
WCTUSDT,MISSING,N/A,N/A,0.0,,,,
EIGENUSDT,MISSING,N/A,N/A,0.0,,,,
MAVIAUSDT,MISSING,N/A,N/A,0.0,,,,
TRUMPUSDT,MISSING,N/A,N/A,0.0,,,,
AXLUSDT,MISSING,N/A,N/A,0.0,,,,
MANAUSDT,MISSING,N/A,N/A,0.0,,,,
ERAUSDT,DIFFERENT,,,,HID_BEAR | 10.0R | 1.5x,REG_BEAR | 10.0R | 2.0x,51.7,29.2
TONUSDT,MISSING,N/A,N/A,0.0,,,,
ENAUSDT,MISSING,N/A,N/A,0.0,,,,
STXUSDT,DIFFERENT,,,,HID_BEAR | 8.0R | 2.0x,REG_BEAR | 2.0R | 1.0x,12.14,57.1
SEIUSDT,MISSING,N/A,N/A,0.0,,,,
BIOUSDT,MISSING,N/A,N/A,0.0,,,,
PONKEUSDT,MISSING,N/A,N/A,0.0,,,,
WALUSDT,MISSING,N/A,N/A,0.0,,,,
LINEAUSDT,MISSING,N/A,N/A,0.0,,,,
TIAUSDT,MISSING,N/A,N/A,0.0,,,,
EPICUSDT,MISSING,N/A,N/A,0.0,,,,
RENDERUSDT,MISSING,N/A,N/A,0.0,,,,
WIFUSDT,MISSING,N/A,N/A,0.0,,,,
MOODENGUSDT,MISSING,N/A,N/A,0.0,,,,
SANDUSDT,MISSING,N/A,N/A,0.0,,,,
XCNUSDT,MISSING,N/A,N/A,0.0,,,,
DYDXUSDT,MISSING,N/A,N/A,0.0,,,,
DEXEUSDT,MISSING,N/A,N/A,0.0,,,,
