symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd,periods_profit,mc_profit_pct
1000000BABYDOGEUSDT,REG_BEAR,3.0,1.5,29,48.3,25.2,2.33,6.4,3,100.0
1000000BABYDOGEUSDT,REG_BEAR,3.0,2.0,29,48.3,26.2,2.45,6.3,3,100.0
1000000BABYDOGEUSDT,REG_BEAR,4.0,1.5,29,44.8,34.7,2.6,6.4,3,100.0
1000000BABYDOGEUSDT,REG_BEAR,4.0,2.0,29,41.4,30.7,2.34,6.3,2,100.0
1000000BABYDOGEUSDT,REG_BEAR,5.0,1.5,29,37.9,36.2,2.32,6.4,2,100.0
1000000BABYDOGEUSDT,REG_BEAR,6.0,1.5,29,24.1,21.2,1.34,6.4,2,100.0
1000CATUSDT,REG_BEAR,3.0,2.0,49,36.7,20.7,1.53,7.3,2,100.0
10000ELONUSDT,REG_BEAR,3.0,2.0,44,40.9,25.8,1.98,9.5,2,100.0
10000ELONUSDT,REG_BEAR,4.0,2.0,44,34.1,30.3,1.94,9.5,2,100.0
10000ELONUSDT,REG_BEAR,6.0,2.0,44,22.7,27.3,1.42,10.5,3,100.0
1000BONKUSDT,HID_BULL,3.0,1.5,45,37.8,21.0,1.61,6.4,3,100.0
1000BONKUSDT,HID_BULL,3.0,2.0,45,51.1,45.5,3.38,6.3,3,100.0
1000BONKUSDT,HID_BULL,4.0,1.5,45,37.8,38.0,2.33,6.4,3,100.0
1000BONKUSDT,HID_BULL,4.0,2.0,45,48.9,63.5,3.78,7.6,3,100.0
1000BONKUSDT,HID_BULL,5.0,1.0,45,26.7,23.9,1.35,8.3,3,100.0
1000BONKUSDT,HID_BULL,5.0,1.5,45,35.6,49.0,2.54,6.9,3,100.0
1000BONKUSDT,HID_BULL,5.0,2.0,45,35.6,51.5,2.69,13.7,3,100.0
1000BONKUSDT,HID_BULL,6.0,1.0,45,26.7,35.9,1.73,8.3,3,100.0
1000BONKUSDT,HID_BULL,6.0,1.5,45,33.3,58.0,2.61,12.9,2,100.0
1000BONKUSDT,HID_BULL,6.0,2.0,45,31.1,54.0,2.5,14.7,3,100.0
1000BONKUSDT,HID_BULL,7.0,1.0,45,26.7,47.9,2.02,8.3,3,100.0
1000BONKUSDT,HID_BULL,7.0,1.5,45,22.2,35.0,1.58,13.9,2,100.0
1000BONKUSDT,HID_BULL,7.0,2.0,45,26.7,53.0,2.26,14.7,3,100.0
1000BONKUSDT,HID_BULL,8.0,1.0,45,26.7,59.9,2.25,8.3,3,100.0
1000BONKUSDT,HID_BULL,8.0,2.0,45,22.2,48.0,1.93,15.3,3,100.0
1000BONKUSDT,HID_BULL,9.0,1.0,45,24.4,61.9,2.15,13.3,3,100.0
1000TURBOUSDT,HID_BULL,4.0,1.0,24,37.5,19.2,1.62,5.3,2,100.0
1000TURBOUSDT,HID_BULL,5.0,1.0,24,33.3,22.2,1.6,5.3,2,100.0
1000TURBOUSDT,HID_BULL,6.0,1.0,24,29.2,23.2,1.49,6.4,2,100.0
1000TURBOUSDT,HID_BULL,7.0,1.0,24,25.0,22.2,1.31,7.4,2,100.0
1000PEPEUSDT,REG_BEAR,3.0,1.0,32,50.0,29.0,2.56,5.5,2,100.0
1000PEPEUSDT,REG_BEAR,3.0,1.5,32,50.0,30.0,2.65,6.3,2,100.0
1000PEPEUSDT,REG_BEAR,4.0,1.0,32,40.6,30.0,2.16,5.5,2,100.0
1000PEPEUSDT,REG_BEAR,4.0,1.5,32,34.4,21.0,1.56,6.4,3,100.0
1000PEPEUSDT,REG_BEAR,5.0,1.0,32,34.4,31.0,1.92,8.6,2,100.0
2ZUSDT,HID_BEAR,3.0,2.0,38,57.9,48.7,4.0,4.1,2,100.0
2ZUSDT,HID_BEAR,4.0,2.0,38,47.4,50.7,3.29,11.4,2,100.0
2ZUSDT,HID_BEAR,5.0,2.0,38,34.2,39.2,2.24,14.5,2,100.0
2ZUSDT,HID_BEAR,6.0,2.0,38,34.2,52.2,2.56,14.5,2,100.0
1000TOSHIUSDT,REG_BEAR,6.0,1.0,36,27.8,31.4,1.67,9.6,3,100.0
1000TOSHIUSDT,REG_BEAR,6.0,1.5,36,27.8,32.3,1.72,9.4,3,100.0
