symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd,periods_profit,mc_profit_pct
1000000BABYDOGEUSDT,REG_BEAR,5.0,1.5,29,37.9,36.2,2.32,6.4,2,100.0
1000CATUSDT,REG_BEAR,3.0,2.0,49,36.7,20.7,1.53,7.3,2,100.0
10000ELONUSDT,REG_BEAR,4.0,2.0,44,34.1,30.3,1.94,9.5,2,100.0
1000BONKUSDT,HID_BULL,4.0,2.0,45,48.9,63.5,3.78,7.6,3,100.0
1000TURBOUSDT,HID_BULL,6.0,1.0,24,29.2,23.2,1.49,6.4,2,100.0
1000PEPEUSDT,REG_BEAR,5.0,1.0,32,34.4,31.0,1.92,8.6,2,100.0
2ZUSDT,HID_BEAR,6.0,2.0,38,34.2,52.2,2.56,14.5,2,100.0
1000TOSHIUSDT,REG_BEAR,9.0,1.0,36,25.0,51.4,1.98,9.6,3,100.0
1000TOSHIUSDT,HID_BEAR,3.0,2.0,69,39.1,37.2,2.31,12.5,3,100.0
1000TAGUSDT,HID_BULL,5.0,1.0,27,33.3,25.8,1.75,6.2,3,100.0
1000TAGUSDT,HID_BEAR,7.0,1.5,53,26.4,58.9,2.31,10.1,3,100.0
A2ZUSDT,REG_BEAR,3.0,1.0,34,44.1,23.3,2.0,9.1,3,100.0
1000XUSDT,HID_BULL,7.0,2.0,25,28.0,29.8,1.66,9.5,2,100.0
1000XUSDT,HID_BEAR,3.0,1.0,56,42.9,34.3,2.3,8.8,3,100.0
1000XECUSDT,HID_BULL,4.0,2.0,38,34.2,24.5,1.68,9.8,2,100.0
1INCHUSDT,REG_BEAR,5.0,1.5,34,29.4,23.6,1.48,8.6,2,100.0
AAVEUSDT,REG_BULL,9.0,1.0,27,22.2,30.2,1.4,10.9,2,100.0
ACEUSDT,HID_BULL,10.0,2.0,47,21.3,61.5,2.0,19.7,2,100.0
ACTUSDT,REG_BULL,9.0,1.0,24,29.2,44.0,1.97,14.1,2,100.0
ACTUSDT,HID_BULL,3.0,1.0,68,36.8,27.0,1.7,9.9,2,100.0
AEVOUSDT,REG_BEAR,3.0,1.0,45,37.8,19.1,1.47,7.5,2,100.0
AEVOUSDT,HID_BEAR,3.0,1.5,40,40.0,22.2,1.8,8.3,2,100.0
ACXUSDT,REG_BULL,3.0,1.0,15,53.3,15.4,1.99,4.4,2,100.0
AIOUSDT,REG_BULL,7.0,1.5,23,21.7,15.9,1.01,6.2,2,100.0
AERGOUSDT,REG_BEAR,5.0,2.0,34,29.4,26.8,1.72,8.3,2,100.0
ADAUSDT,REG_BULL,8.0,1.5,26,34.6,53.2,2.43,14.0,2,100.0
AIOZUSDT,HID_BULL,8.0,1.0,43,27.9,61.6,2.34,12.7,2,100.0
AIXBTUSDT,REG_BEAR,7.0,1.5,44,25.0,43.3,1.9,11.5,2,100.0
ALPINEUSDT,HID_BEAR,7.0,1.5,53,22.6,39.6,1.62,14.9,2,100.0
ALEOUSDT,REG_BULL,10.0,2.0,20,25.0,34.3,1.61,6.2,2,100.0
ALEOUSDT,HID_BULL,9.0,1.5,42,21.4,46.5,1.75,15.7,2,100.0
ALICEUSDT,REG_BEAR,5.0,1.5,31,38.7,39.2,2.4,8.5,2,100.0
ALGOUSDT,REG_BULL,5.0,1.0,23,30.4,16.9,1.28,6.6,3,100.0
AKTUSDT,REG_BEAR,3.0,1.0,29,44.8,19.8,1.83,5.9,2,100.0
ANIMEUSDT,REG_BULL,7.0,1.5,28,32.1,42.2,2.13,9.9,2,100.0
ANIMEUSDT,REG_BEAR,4.0,2.0,46,30.4,24.1,1.56,8.5,3,100.0
