symbol,div_type,atr,rr,trades,wr,total_r,avg_r
UBUSDT,REG_BEAR,1.0,2.0,12,41.7,2.1,0.175
0GUSDT,REG_BEAR,1.5,1.5,10,50.0,1.94,0.194
UBUSDT,REG_BEAR,1.0,3.0,12,41.7,7.1,0.592
0GUSDT,REG_BEAR,1.5,2.0,10,40.0,1.44,0.144
UBUSDT,REG_BEAR,1.0,4.0,12,41.7,12.1,1.009
UBUSDT,REG_BEAR,1.0,5.0,12,41.7,17.1,1.425
UBUSDT,REG_BEAR,1.0,6.0,11,36.4,16.18,1.471
UBUSDT,REG_BEAR,1.0,7.0,11,36.4,20.18,1.834
UBUSDT,REG_BEAR,1.0,8.0,11,36.4,24.18,2.198
UBUSDT,REG_BEAR,1.0,9.0,11,36.4,28.18,2.562
UBUSDT,REG_BEAR,1.0,10.0,11,36.4,32.18,2.925
UBUSDT,REG_BEAR,1.5,1.5,12,50.0,2.4,0.2
0GUSDT,REG_BEAR,2.0,1.5,10,50.0,2.08,0.208
UBUSDT,REG_BEAR,1.5,2.0,12,50.0,5.4,0.45
0GUSDT,REG_BEAR,2.0,2.0,10,40.0,1.58,0.158
UBUSDT,REG_BEAR,1.5,3.0,12,50.0,11.4,0.95
UBUSDT,REG_BEAR,1.5,4.0,11,45.5,13.45,1.223
UBUSDT,REG_BEAR,1.5,5.0,11,45.5,18.45,1.677
0GUSDT,REG_BEAR,2.0,5.0,10,20.0,1.58,0.158
0GUSDT,REG_BEAR,2.0,6.0,10,20.0,3.58,0.358
UBUSDT,REG_BEAR,1.5,6.0,11,36.4,16.45,1.496
0GUSDT,REG_BEAR,2.0,7.0,10,20.0,5.58,0.558
UBUSDT,REG_BEAR,1.5,7.0,11,36.4,20.45,1.859
0GUSDT,REG_BEAR,2.0,8.0,10,20.0,7.58,0.758
UBUSDT,REG_BEAR,1.5,8.0,11,36.4,24.45,2.223
0GUSDT,REG_BEAR,2.0,9.0,10,20.0,9.58,0.958
0GUSDT,REG_BEAR,2.0,10.0,10,20.0,11.58,1.158
UBUSDT,REG_BEAR,1.5,9.0,11,36.4,28.45,2.587
UBUSDT,REG_BEAR,1.5,10.0,11,36.4,32.45,2.95
AEROUSDT,REG_BULL,1.0,1.5,30,60.0,12.78,0.426
UBUSDT,REG_BEAR,2.0,1.5,12,50.0,2.55,0.213
