symbol,div_type,winner_source,winner_avg_r,loser_source,loser_avg_r,reason
10000QUBICUSDT,HID_BEAR,bull_tested,1.2774,bear_tested,0.3294,"higher avg_r (1.277 vs 0.329), bull_tested over bear_tested"
10000QUBICUSDT,REG_BEAR,bull_tested,0.97,bear_tested,0.7983,"higher avg_r (0.970 vs 0.798), bull_tested over bear_tested"
10000SATSUSDT,HID_BEAR,all_weather,0.5175,bear_tested,0.6992,tier 0 (all_weather) beats tier 1 (bear_tested)
10000SATSUSDT,REG_BEAR,bull_tested,2.476,bear_tested,1.592,"higher avg_r (2.476 vs 1.592), bull_tested over bear_tested"
1000BONKUSDT,HID_BULL,all_weather,0.7911,bull_tested,0.7891,tier 0 (all_weather) beats tier 1 (bull_tested)
1000BONKUSDT,REG_BEAR,bull_tested,0.5908,bear_tested,0.334,"higher avg_r (0.591 vs 0.334), bull_tested over bear_tested"
1000FLOKIUSDT,REG_BEAR,bear_tested,0.3867,bull_tested,0.23,"higher avg_r (0.387 vs 0.230), bear_tested over bull_tested"
1INCHUSDT,REG_BEAR,all_weather,0.6832,bull_tested,2.124,tier 0 (all_weather) beats tier 1 (bull_tested)
1INCHUSDT,REG_BEAR,all_weather,0.6832,bear_tested,0.2938,tier 0 (all_weather) beats tier 1 (bear_tested)
ADAUSDT,HID_BEAR,all_weather,0.8166,bear_tested,0.3507,tier 0 (all_weather) beats tier 1 (bear_tested)
ADAUSDT,REG_BEAR,all_weather,1.2203,bear_tested,1.934,tier 0 (all_weather) beats tier 1 (bear_tested)
ADAUSDT,REG_BEAR,all_weather,1.2203,bull_tested,0.916,tier 0 (all_weather) beats tier 1 (bull_tested)
AIOZUSDT,HID_BULL,bull_tested,0.7967,bear_tested,0.275,"higher avg_r (0.797 vs 0.275), bull_tested over bear_tested"
ALCHUSDT,HID_BEAR,bear_tested,0.274,bull_tested,0.2563,"higher avg_r (0.274 vs 0.256), bear_tested over bull_tested"
ANKRUSDT,REG_BEAR,all_weather,0.5498,bear_tested,1.43,tier 0 (all_weather) beats tier 1 (bear_tested)
