symbol,div_type,atr,rr,avg_r_per_trade,source,tier,test_trades_norm
1000000BABYDOGEUSDT,HID_BEAR,1.5,9.0,0.745909090909091,bear_tested,1,22
1000000MOGUSDT,HID_BEAR,1.0,6.0,0.5547058823529412,bear_tested,1,17
1000000MOGUSDT,HID_BULL,1.5,10.0,0.79,bear_tested,1,6
10000QUBICUSDT,HID_BEAR,2.0,10.0,1.2773684210526315,bull_tested,1,19
10000SATSUSDT,HID_BULL,2.0,5.0,0.9646666666666667,bull_tested,1,15
10000SATSUSDT,REG_BEAR,1.0,8.0,2.476,bull_tested,1,10
1000BONKUSDT,HID_BULL,2.0,5.0,0.791078431372549,all_weather,0,102
1000BONKUSDT,REG_BEAR,1.0,9.0,0.5908333333333333,bull_tested,1,12
1000FLOKIUSDT,REG_BEAR,1.0,8.0,0.38666666666666666,bear_tested,1,12
1000FLOKIUSDT,REG_BULL,2.0,10.0,0.2584313725490196,all_weather,0,51
1000LUNCUSDT,REG_BEAR,1.0,6.0,1.2566666666666666,bear_tested,1,6
1000PEPEUSDT,REG_BEAR,1.5,10.0,1.685,bear_tested,1,8
1000RATSUSDT,REG_BEAR,1.0,2.0,0.21423076923076925,all_weather,0,52
1000RATSUSDT,REG_BULL,2.0,1.5,0.21833333333333335,bear_tested,1,6
1000TOSHIUSDT,HID_BULL,1.0,4.0,0.19416666666666668,bull_tested,1,12
1000TOSHIUSDT,REG_BEAR,1.0,10.0,0.7599999999999999,bear_tested,1,6
1000TURBOUSDT,REG_BEAR,1.5,6.0,0.683125,bear_tested,1,16
1INCHUSDT,HID_BULL,2.0,10.0,2.087142857142857,bull_tested,1,14
1INCHUSDT,REG_BEAR,1.5,7.0,0.6831707317073171,all_weather,0,82
2ZUSDT,HID_BEAR,1.5,9.0,5.19,bear_tested,1,8
AAVEUSDT,HID_BEAR,1.5,10.0,1.3126086956521739,bear_tested,1,23
ACEUSDT,HID_BEAR,2.0,5.0,0.3896,bear_tested,1,25
ACHUSDT,HID_BEAR,2.0,7.0,1.614,bear_tested,1,15
ACHUSDT,REG_BULL,2.0,8.0,3.040909090909091,bull_tested,1,11
ACTUSDT,HID_BEAR,1.0,10.0,2.0628571428571427,bear_tested,1,21
ACTUSDT,REG_BULL,1.0,5.0,0.9255555555555556,bull_tested,1,9
ACXUSDT,REG_BEAR,1.5,8.0,0.734,bull_tested,1,5
ADAUSDT,REG_BEAR,1.5,9.0,1.220327868852459,all_weather,0,61
AEROUSDT,REG_BEAR,2.0,10.0,0.5314285714285715,bull_tested,1,7
AEVOUSDT,HID_BEAR,1.5,10.0,0.99875,bear_tested,1,16
AGIUSDT,REG_BEAR,1.5,8.0,0.738,bull_tested,1,5
AGLDUSDT,HID_BEAR,1.0,10.0,0.20176470588235296,bear_tested,1,17
AIOZUSDT,HID_BULL,2.0,10.0,0.7966666666666667,bull_tested,1,12
AIOZUSDT,REG_BEAR,1.0,10.0,0.2675,bear_tested,1,8
AIXBTUSDT,REG_BEAR,1.5,9.0,3.2314285714285718,bear_tested,1,7
AKTUSDT,REG_BULL,1.0,10.0,0.7283333333333334,bull_tested,1,6
ALCHUSDT,REG_BEAR,2.0,4.0,0.87,bull_tested,1,13
ALCHUSDT,REG_BULL,1.5,10.0,0.3375,bear_tested,1,8
ALGOUSDT,REG_BEAR,2.0,1.5,0.3742857142857143,bear_tested,1,7
ALGOUSDT,REG_BULL,1.0,7.0,1.2,bull_tested,1,7
ALICEUSDT,REG_BEAR,2.0,9.0,0.61,bull_tested,1,6
ALTUSDT,REG_BEAR,1.5,5.0,0.9322222222222223,bear_tested,1,9
ANIMEUSDT,REG_BULL,1.0,3.0,0.512,bull_tested,1,5
ANKRUSDT,REG_BEAR,1.5,7.0,0.5498305084745763,all_weather,0,59
APEUSDT,REG_BEAR,2.0,8.0,0.445,bear_tested,1,6
APEUSDT,REG_BULL,1.0,3.0,0.7338461538461538,bull_tested,1,13
API3USDT,HID_BEAR,1.0,10.0,0.9045454545454544,bull_tested,1,22
API3USDT,REG_BULL,2.0,8.0,2.33,bull_tested,1,8
ARBUSDT,HID_BULL,2.0,9.0,0.2946666666666667,bull_tested,1,15
ARBUSDT,REG_BEAR,2.0,8.0,0.744,bear_tested,1,5
ARCUSDT,HID_BULL,2.0,4.0,0.9765,bear_tested,1,20
ARIAUSDT,HID_BEAR,1.5,8.0,1.19375,bear_tested,1,8
ARPAUSDT,REG_BEAR,1.0,10.0,0.6983333333333334,bear_tested,1,6
ARPAUSDT,REG_BULL,2.0,10.0,1.15,bull_tested,1,5
ARUSDT,HID_BEAR,1.0,10.0,0.2232,bear_tested,1,25
ARUSDT,HID_BULL,1.0,4.0,1.0385714285714285,bear_tested,1,7
ASTERUSDT,HID_BEAR,1.5,10.0,2.611666666666667,bear_tested,1,6
ASTRUSDT,REG_BEAR,1.5,10.0,1.089,bear_tested,1,10
ATOMUSDT,HID_BULL,1.5,5.0,0.4291666666666667,bear_tested,1,12
ATOMUSDT,REG_BEAR,1.0,10.0,2.526666666666667,bear_tested,1,12
AUCTIONUSDT,REG_BEAR,1.0,8.0,0.42166666666666663,bear_tested,1,6
AUCTIONUSDT,REG_BULL,1.5,9.0,0.75,bull_tested,1,11
AUSDT,HID_BEAR,2.0,10.0,0.6407692307692308,bear_tested,1,13
AUSDT,HID_BULL,2.0,10.0,1.3722222222222222,bear_tested,1,9
