symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
1000000BABYDOGEUSDT,REG_BEAR,1.0,10.0,23,29.74,21.7,6,4.35,16.7
1000BONKUSDT,HID_BULL,1.0,10.0,49,57.98,20.4,3,7.77,33.3
1000NEIROCTOUSDT,REG_BULL,1.0,4.0,20,13.71,35.0,4,0.73,25.0
1000PEPEUSDT,HID_BEAR,1.0,9.0,48,17.96,14.6,14,4.62,14.3
1000TURBOUSDT,HID_BEAR,1.5,7.0,51,18.43,17.6,26,12.56,19.2
1INCHUSDT,REG_BEAR,1.5,10.0,29,23.72,17.2,6,4.56,16.7
1INCHUSDT,HID_BEAR,2.0,10.0,38,3.95,10.5,11,32.42,36.4
AAVEUSDT,HID_BEAR,1.5,10.0,44,19.17,13.6,16,15.64,18.8
ADAUSDT,HID_BEAR,1.5,10.0,51,66.56,21.6,15,27.93,26.7
AEROUSDT,HID_BEAR,1.0,10.0,48,13.83,12.5,19,45.34,31.6
AGIUSDT,HID_BEAR,1.5,10.0,52,32.66,15.4,29,24.14,17.2
AGLDUSDT,HID_BEAR,1.0,10.0,42,31.01,16.7,11,9.95,18.2
AIXBTUSDT,REG_BEAR,1.5,9.0,30,48.71,26.7,7,2.65,14.3
AKTUSDT,REG_BULL,1.0,10.0,18,24.27,22.2,4,6.65,25.0
AKTUSDT,REG_BEAR,2.0,5.0,26,8.66,23.1,8,3.59,25.0
AKTUSDT,HID_BULL,1.0,9.0,28,9.27,14.3,5,4.66,20.0
AKTUSDT,HID_BEAR,1.0,10.0,49,23.35,14.3,8,2.12,12.5
ALCHUSDT,REG_BULL,1.5,10.0,19,13.16,15.8,15,28.43,26.7
ALGOUSDT,REG_BULL,2.0,5.0,13,10.4,30.8,5,0.72,20.0
ALGOUSDT,REG_BEAR,2.0,1.5,26,10.06,57.7,8,1.54,50.0
ANIMEUSDT,HID_BULL,1.0,10.0,37,14.53,13.5,10,0.18,10.0
ANIMEUSDT,HID_BEAR,1.5,9.0,45,52.24,22.2,16,2.98,12.5
APEUSDT,REG_BULL,1.0,3.0,25,8.48,36.0,3,0.73,33.3
ARCUSDT,HID_BULL,1.0,6.0,27,6.67,18.5,17,10.26,23.5
ARKMUSDT,HID_BEAR,1.5,10.0,44,52.79,20.5,25,28.55,20.0
ARPAUSDT,REG_BEAR,1.5,7.0,23,7.41,17.4,10,5.1,20.0
ARUSDT,REG_BEAR,2.0,4.0,29,4.83,24.1,11,3.57,27.3
ASTERUSDT,HID_BEAR,1.5,9.0,17,22.28,23.5,5,4.69,20.0
ASTRUSDT,REG_BULL,1.5,3.0,22,8.42,36.4,6,1.54,33.3
ASTRUSDT,REG_BEAR,1.0,8.0,21,12.61,19.0,9,7.42,22.2
ATOMUSDT,REG_BEAR,1.0,1.5,40,9.89,55.0,12,3.72,58.3
AUCTIONUSDT,REG_BULL,2.0,10.0,24,29.93,20.8,5,5.76,20.0
AUCTIONUSDT,REG_BEAR,1.0,8.0,27,32.7,25.9,6,2.46,16.7
AUCTIONUSDT,HID_BULL,1.5,10.0,47,71.01,23.4,8,2.3,12.5
AUCTIONUSDT,HID_BEAR,2.0,8.0,44,7.94,13.6,13,13.16,23.1
AUSDT,HID_BULL,2.0,10.0,18,2.86,11.1,9,12.35,22.2
AXLUSDT,REG_BULL,1.0,4.0,15,8.55,33.3,4,5.73,50.0
AXLUSDT,HID_BULL,2.0,8.0,34,9.34,14.7,3,5.88,33.3
AXLUSDT,HID_BEAR,1.0,10.0,43,29.95,16.3,23,41.09,26.1
AXSUSDT,HID_BEAR,1.0,1.5,34,12.84,58.8,10,1.44,50.0
B2USDT,REG_BULL,1.5,2.0,13,13.46,69.2,3,2.83,66.7
BATUSDT,HID_BEAR,1.0,9.0,9,20.32,33.3,5,4.42,20.0
BEAMUSDT,REG_BEAR,1.5,6.0,25,15.62,24.0,4,2.8,25.0
BERAUSDT,REG_BEAR,2.0,9.0,25,23.97,20.0,10,9.63,20.0
BERAUSDT,HID_BEAR,1.5,9.0,44,13.79,13.6,10,29.54,40.0
BIOUSDT,HID_BEAR,1.5,10.0,62,67.16,19.4,20,11.71,15.0
BLURUSDT,HID_BEAR,2.0,10.0,36,39.31,19.4,15,28.29,26.7
BNBUSDT,HID_BEAR,1.0,9.0,19,17.47,21.1,9,18.97,33.3
BOMEUSDT,HID_BEAR,2.0,6.0,37,17.72,21.6,23,24.93,30.4
BTCUSDT,HID_BEAR,2.0,10.0,52,29.86,15.4,18,1.87,11.1
BTRUSDT,HID_BULL,1.5,10.0,14,29.59,28.6,11,10.45,18.2
CAKEUSDT,REG_BEAR,1.5,9.0,21,17.48,19.0,7,2.33,14.3
CCUSDT,HID_BULL,1.0,8.0,11,6.4,18.2,5,3.74,20.0
CHZUSDT,REG_BEAR,2.0,4.0,34,19.01,32.4,3,1.83,33.3
CLANKERUSDT,HID_BEAR,1.0,2.0,43,5.5,39.5,13,0.93,38.5
CLOUSDT,HID_BEAR,1.5,7.0,13,42.62,53.8,7,32.79,71.4
CRVUSDT,REG_BULL,1.0,10.0,28,13.97,14.3,9,1.11,11.1
CVXUSDT,REG_BEAR,1.0,1.5,20,5.92,55.0,11,0.21,45.5
DASHUSDT,REG_BULL,1.0,6.0,11,8.88,27.3,5,1.76,20.0
DASHUSDT,HID_BEAR,1.0,10.0,24,17.22,16.7,15,6.09,13.3
DBRUSDT,REG_BULL,1.5,3.0,18,16.48,50.0,8,3.26,37.5
DBRUSDT,HID_BULL,1.0,9.0,34,62.19,29.4,9,9.25,22.2
DEEPUSDT,REG_BULL,1.0,3.0,15,11.9,46.7,6,1.64,33.3
DEEPUSDT,REG_BEAR,1.0,4.0,22,26.3,45.5,11,13.21,45.5
DODOUSDT,REG_BEAR,1.5,6.0,32,7.97,18.8,8,5.35,25.0
DODOUSDT,HID_BEAR,1.0,8.0,53,5.8,13.2,19,14.82,21.1
DOGEUSDT,REG_BEAR,2.0,5.0,26,8.5,23.1,9,2.37,22.2
DOGEUSDT,HID_BULL,2.0,6.0,44,9.9,18.2,4,2.68,25.0
DOLOUSDT,REG_BULL,1.0,10.0,8,13.58,25.0,6,15.5,33.3
DOODUSDT,HID_BEAR,2.0,3.0,27,12.08,37.0,15,4.28,33.3
DOTUSDT,REG_BEAR,1.0,10.0,26,25.71,19.2,8,1.86,12.5
