symbol,timeframe,best_rr,total_r,win_rate,trades,avg_r,profitable
BTCUSDT,15M,3.5,-22.7,0.171,35,-0.649,False
ETHUSDT,15M,5.0,17.18,0.293,41,0.419,True
SOLUSDT,15M,2.0,-2.01,0.387,31,-0.065,False
ZECUSDT,15M,2.0,-9.3,0.227,22,-0.423,False
FLOWUSDT,15M,2.0,-1.85,0.4,30,-0.062,False
XRPUSDT,15M,6.0,-11.46,0.133,30,-0.382,False
BEATUSDT,15M,5.5,10.74,0.333,9,1.193,True
FARTCOINUSDT,15M,3.0,5.77,0.323,31,0.186,True
ATUSDT,15M,2.5,3.8,0.368,19,0.2,True
DOGEUSDT,15M,2.5,-14.59,0.235,34,-0.429,False
KAITOUSDT,15M,5.5,21.46,0.29,31,0.692,True
HYPEUSDT,15M,6.0,2.05,0.171,41,0.05,True
ZKPUSDT,15M,5.5,3.31,0.333,3,1.105,True
ONTUSDT,15M,2.0,-20.43,0.229,35,-0.584,False
BCHUSDT,15M,2.5,-9.14,0.281,32,-0.286,False
1000PEPEUSDT,15M,2.0,-8.89,0.326,43,-0.207,False
ADAUSDT,15M,2.0,-7.42,0.333,33,-0.225,False
AVNTUSDT,15M,6.0,-8.93,0.115,26,-0.343,False
ZBTUSDT,15M,2.0,-2.02,0.364,33,-0.061,False
NIGHTUSDT,15M,5.0,-0.46,0.167,6,-0.077,False
SUIUSDT,15M,3.0,-2.44,0.286,28,-0.087,False
XPLUSDT,15M,3.5,29.89,0.441,34,0.879,True
STORJUSDT,15M,6.0,10.7,0.233,30,0.357,True
PIPPINUSDT,15M,3.0,7.31,0.36,25,0.293,True
RAVEUSDT,15M,2.0,-3.14,0.0,3,-1.047,False
LTCUSDT,15M,2.0,-3.86,0.387,31,-0.124,False
0GUSDT,15M,2.5,9.46,0.406,32,0.296,True
BNBUSDT,15M,3.5,8.19,0.351,37,0.221,True
WIFUSDT,15M,4.5,-1.2,0.206,34,-0.035,False
DOTUSDT,15M,2.0,-1.59,0.4,40,-0.04,False
GASUSDT,15M,6.0,-6.43,0.148,27,-0.238,False
UNIUSDT,15M,3.5,-19.99,0.18,50,-0.4,False
TRUUSDT,15M,6.0,12.07,0.263,19,0.635,True
STABLEUSDT,15M,2.0,-2.8,0.273,11,-0.254,False
LINKUSDT,15M,2.0,-11.11,0.303,33,-0.337,False
NEARUSDT,15M,4.5,-1.12,0.208,24,-0.047,False
AAVEUSDT,15M,6.0,0.37,0.179,28,0.013,True
ZENUSDT,15M,2.0,-2.78,0.351,37,-0.075,False
AVAXUSDT,15M,2.0,-23.22,0.2,35,-0.663,False
LIGHTUSDT,15M,2.0,-2.46,0.343,35,-0.07,False
XMRUSDT,15M,2.5,-10.14,0.25,32,-0.317,False
DASHUSDT,15M,6.0,22.57,0.292,24,0.941,True
ENAUSDT,15M,6.0,15.21,0.241,29,0.524,True
TAOUSDT,15M,5.0,12.12,0.244,41,0.296,True
MONUSDT,15M,5.5,17.97,0.357,14,1.283,True
ASTERUSDT,15M,6.0,25.83,0.256,39,0.662,True
SQDUSDT,15M,3.0,13.02,0.371,35,0.372,True
APTUSDT,15M,2.0,-1.47,0.375,24,-0.061,False
SEIUSDT,15M,5.5,-0.76,0.182,33,-0.023,False
TONUSDT,15M,5.5,-0.05,0.194,36,-0.002,False
