symbol,best_rr,total_r,win_rate,trades,avg_r
BTCUSDT,7.0,-3.41,0.125,32,-0.107
ETHUSDT,4.5,6.17,0.233,30,0.206
SOLUSDT,3.0,0.1,0.263,38,0.003
ZECUSDT,2.0,-0.67,0.343,35,-0.019
XRPUSDT,3.0,-7.22,0.206,34,-0.212
FLOWUSDT,6.0,20.03,0.22,41,0.489
KAITOUSDT,3.0,10.69,0.556,9,1.188
FARTCOINUSDT,5.0,15.84,0.5,8,1.98
HYPEUSDT,8.0,-0.47,0.111,18,-0.026
AVNTUSDT,8.0,1.85,0.143,7,0.264
DOGEUSDT,4.0,14.61,0.333,24,0.609
BCHUSDT,7.0,34.0,0.227,44,0.773
ONTUSDT,7.0,1.05,0.135,37,0.028
1000PEPEUSDT,4.0,-0.07,0.206,34,-0.002
ADAUSDT,8.0,27.59,0.186,43,0.642
SUIUSDT,2.0,-5.52,0.297,37,-0.149
PIPPINUSDT,8.0,6.75,0.182,11,0.614
XPLUSDT,6.0,16.93,0.75,4,4.232
TRUUSDT,8.0,22.16,0.217,23,0.963
BNBUSDT,8.0,-14.9,0.067,30,-0.497
LTCUSDT,3.0,20.93,0.424,33,0.634
AAVEUSDT,2.0,-9.21,0.283,46,-0.2
WIFUSDT,4.5,2.1,0.2,30,0.07
LINKUSDT,6.0,13.91,0.185,54,0.258
DOTUSDT,8.0,37.66,0.22,41,0.919
NEARUSDT,5.5,25.34,0.263,38,0.667
ZENUSDT,2.0,-3.92,0.318,44,-0.089
AVAXUSDT,7.0,27.27,0.229,35,0.779
ASTERUSDT,2.0,-3.06,0.0,3,-1.019
DASHUSDT,5.5,17.22,0.242,33,0.522
XMRUSDT,2.0,-9.71,0.265,34,-0.286
ENAUSDT,2.0,11.34,0.5,24,0.473
UNIUSDT,2.5,5.42,0.342,38,0.143
TAOUSDT,2.0,-5.7,0.25,20,-0.285
APTUSDT,5.5,3.46,0.176,34,0.102
XAUTUSDT,3.0,4.74,0.5,6,0.79
GASUSDT,8.0,16.04,0.211,19,0.844
SEIUSDT,8.0,24.71,0.189,37,0.668
TONUSDT,6.0,5.72,0.19,21,0.272
CRVUSDT,3.0,2.28,0.273,44,0.052
MNTUSDT,3.0,5.39,0.31,29,0.186
LPTUSDT,3.0,-0.55,0.256,39,-0.014
PUMPFUNUSDT,2.0,-9.23,0.0,9,-1.026
HUSDT,6.0,-2.17,0.111,9,-0.242
STRKUSDT,7.0,25.0,0.233,30,0.833
TRXUSDT,3.5,16.25,0.333,42,0.387
HBARUSDT,3.0,2.2,0.281,32,0.069
IPUSDT,3.5,-1.68,0.167,6,-0.28
ICPUSDT,4.0,4.31,0.235,34,0.127
WLFIUSDT,3.5,7.26,0.5,6,1.211
MOVEUSDT,6.0,1.59,0.167,12,0.133
AIXBTUSDT,5.5,14.74,0.364,11,1.34
NILUSDT,5.5,-0.33,0.154,13,-0.026
FILUSDT,2.5,5.25,0.333,45,0.117
ARBUSDT,5.5,23.0,0.265,34,0.677
TRUTHUSDT,2.0,-1.01,0.0,1,-1.009
NTRNUSDT,5.5,42.59,0.353,34,1.253
INITUSDT,4.5,3.83,0.286,7,0.547
OPUSDT,7.0,29.06,0.204,49,0.593
SQDUSDT,2.0,-2.18,0.0,3,-0.728
WLDUSDT,2.0,-10.11,0.25,36,-0.281
PENGUUSDT,4.0,4.71,0.3,10,0.471
TRUMPUSDT,2.0,4.62,0.5,10,0.462
ONDOUSDT,8.0,5.13,0.136,22,0.233
VIRTUALUSDT,6.0,29.47,0.368,19,1.551
MERLUSDT,3.0,-11.83,0.161,31,-0.381
APEXUSDT,8.0,6.91,0.5,2,3.453
ZKUSDT,4.5,5.47,0.25,16,0.342
FLOCKUSDT,2.5,7.71,0.462,13,0.593
ACTUSDT,4.0,4.46,0.25,20,0.223
ANIMEUSDT,2.0,-4.54,0.25,16,-0.284
XLMUSDT,5.5,20.15,0.25,36,0.56
XTZUSDT,2.5,-7.18,0.25,40,-0.179
JELLYJELLYUSDT,2.0,-2.13,0.25,8,-0.266
L3USDT,2.0,1.73,0.385,13,0.133
ATOMUSDT,2.0,1.94,0.371,35,0.055
PAXGUSDT,8.0,24.51,0.261,23,1.065
ETCUSDT,4.0,21.75,0.333,36,0.604
SHIB1000USDT,4.5,6.64,0.233,30,0.221
GALAUSDT,4.5,24.41,0.3,40,0.61
ICNTUSDT,6.0,9.9,0.5,4,2.475
