symbol,div_type,atr,rr,trades,wr,total_r,avg_r
ARKMUSDT,REG_BEAR,2.0,7.0,14,35.7,25.4,1.814
ARPAUSDT,REG_BEAR,1.5,2.0,12,50.0,5.02,0.418
ATHUSDT,REG_BEAR,1.0,1.5,10,60.0,4.44,0.444
ARPAUSDT,REG_BEAR,1.5,3.0,12,41.7,7.02,0.585
ARKMUSDT,REG_BEAR,2.0,8.0,14,35.7,30.4,2.171
ATHUSDT,REG_BEAR,1.0,2.0,10,60.0,7.44,0.744
ATHUSDT,REG_BEAR,1.0,3.0,10,60.0,13.44,1.344
ARPAUSDT,REG_BEAR,1.5,4.0,12,41.7,12.02,1.002
ARKMUSDT,REG_BEAR,2.0,9.0,14,35.7,35.4,2.529
ATHUSDT,REG_BEAR,1.0,4.0,10,60.0,19.44,1.944
ARPAUSDT,REG_BEAR,1.5,5.0,12,41.7,17.02,1.418
ARKMUSDT,REG_BEAR,2.0,10.0,14,35.7,40.4,2.886
ATHUSDT,REG_BEAR,1.0,5.0,10,60.0,25.44,2.544
ARKMUSDT,HID_BULL,1.0,1.5,11,63.6,5.61,0.51
ARPAUSDT,REG_BEAR,1.5,6.0,12,41.7,22.02,1.835
ATHUSDT,REG_BEAR,1.0,6.0,10,60.0,31.44,3.144
ARKMUSDT,HID_BULL,1.0,2.0,11,54.5,6.11,0.556
ARPAUSDT,REG_BEAR,1.5,7.0,12,33.3,19.02,1.585
ATHUSDT,REG_BEAR,1.0,7.0,10,60.0,37.44,3.744
ATHUSDT,REG_BEAR,1.0,8.0,10,60.0,43.44,4.344
ARPAUSDT,REG_BEAR,1.5,8.0,12,33.3,23.02,1.918
ATHUSDT,REG_BEAR,1.0,9.0,10,60.0,49.44,4.944
ARPAUSDT,REG_BEAR,1.5,9.0,12,33.3,27.02,2.252
ATHUSDT,REG_BEAR,1.0,10.0,10,60.0,55.44,5.544
ARPAUSDT,REG_BEAR,1.5,10.0,12,25.0,20.02,1.668
ATHUSDT,REG_BEAR,1.5,1.5,10,70.0,7.13,0.713
ATHUSDT,REG_BEAR,1.5,2.0,10,70.0,10.63,1.063
ARPAUSDT,REG_BEAR,2.0,1.5,12,58.3,4.76,0.397
ATHUSDT,REG_BEAR,1.5,3.0,10,70.0,17.63,1.763
ARPAUSDT,REG_BEAR,2.0,2.0,12,50.0,5.26,0.439
ATHUSDT,REG_BEAR,1.5,4.0,10,70.0,24.63,2.463
ARPAUSDT,REG_BEAR,2.0,3.0,12,50.0,11.26,0.939
ATHUSDT,REG_BEAR,1.5,5.0,10,70.0,31.63,3.163
ATHUSDT,REG_BEAR,1.5,6.0,10,70.0,38.63,3.863
ARPAUSDT,REG_BEAR,2.0,4.0,12,50.0,17.26,1.439
ARKMUSDT,HID_BULL,1.5,4.0,11,27.3,3.41,0.31
ARKMUSDT,HID_BULL,1.5,5.0,11,27.3,6.41,0.583
ARPAUSDT,REG_BEAR,2.0,5.0,12,41.7,17.26,1.439
AXLUSDT,REG_BEAR,1.0,4.0,12,25.0,1.87,0.156
ARPAUSDT,REG_BEAR,2.0,6.0,12,33.3,15.26,1.272
AXLUSDT,REG_BEAR,1.0,5.0,12,25.0,4.87,0.406
ATHUSDT,REG_BEAR,2.0,1.5,10,70.0,7.22,0.722
ARPAUSDT,REG_BEAR,2.0,7.0,12,33.3,19.26,1.605
AXLUSDT,REG_BEAR,1.0,6.0,12,25.0,7.87,0.656
ATHUSDT,REG_BEAR,2.0,2.0,10,70.0,10.72,1.072
ARPAUSDT,REG_BEAR,2.0,8.0,12,25.0,14.26,1.189
AXLUSDT,REG_BEAR,1.0,7.0,12,25.0,10.87,0.906
ATHUSDT,REG_BEAR,2.0,3.0,10,70.0,17.72,1.772
AVLUSDT,REG_BEAR,1.0,1.5,10,80.0,9.39,0.939
KAVAUSDT,REG_BEAR,1.0,1.5,11,54.5,2.47,0.225
ATHUSDT,REG_BEAR,2.0,4.0,10,70.0,24.72,2.472
ARPAUSDT,REG_BEAR,2.0,9.0,12,25.0,17.26,1.439
KAVAUSDT,REG_BEAR,1.0,2.0,11,54.5,5.47,0.497
AVLUSDT,REG_BEAR,1.0,2.0,10,60.0,7.39,0.739
AXLUSDT,REG_BEAR,1.0,8.0,12,25.0,13.87,1.156
KAVAUSDT,REG_BEAR,1.0,3.0,11,54.5,11.47,1.043
KAVAUSDT,REG_BEAR,1.0,4.0,11,54.5,17.47,1.588
KAVAUSDT,REG_BEAR,1.0,5.0,10,50.0,18.48,1.848
AVLUSDT,REG_BEAR,1.0,3.0,10,40.0,5.39,0.539
KAVAUSDT,REG_BEAR,1.0,6.0,10,50.0,23.48,2.348
AXLUSDT,REG_BEAR,1.0,9.0,12,25.0,16.87,1.406
KAVAUSDT,REG_BEAR,1.0,7.0,10,50.0,28.48,2.848
ARKMUSDT,HID_BULL,2.0,4.0,11,27.3,3.56,0.323
AVLUSDT,REG_BEAR,1.0,4.0,10,40.0,9.39,0.939
KAVAUSDT,REG_BEAR,1.0,8.0,10,50.0,33.48,3.348
KAVAUSDT,REG_BEAR,1.0,9.0,10,50.0,38.48,3.848
AXLUSDT,REG_BEAR,1.0,10.0,12,25.0,19.87,1.656
AVLUSDT,REG_BEAR,1.0,5.0,10,40.0,13.39,1.339
KAVAUSDT,REG_BEAR,1.0,10.0,10,50.0,43.48,4.348
