symbol,div_type,atr,rr,trades,wr,total_r,avg_r
1000XECUSDT,REG_BULL,1.0,1.5,29,55.2,7.71,0.266
1000PEPEUSDT,REG_BULL,1.0,4.0,19,31.6,8.16,0.429
1000PEPEUSDT,REG_BULL,1.0,5.0,19,31.6,14.16,0.745
1000PEPEUSDT,REG_BULL,1.0,6.0,19,31.6,20.16,1.061
1000PEPEUSDT,REG_BULL,1.0,7.0,19,31.6,26.16,1.377
1000PEPEUSDT,REG_BULL,1.0,8.0,19,31.6,32.16,1.692
1000PEPEUSDT,REG_BULL,1.0,9.0,19,31.6,38.16,2.008
1000PEPEUSDT,REG_BULL,1.0,10.0,19,31.6,44.16,2.324
1000CATUSDT,REG_BEAR,1.0,1.5,79,51.9,15.8,0.2
1000PEPEUSDT,REG_BULL,1.5,4.0,19,36.8,14.1,0.742
1000PEPEUSDT,REG_BULL,1.5,5.0,19,31.6,15.1,0.795
1000000BABYDOGEUSDT,REG_BEAR,1.0,4.0,40,27.5,11.29,0.282
1000PEPEUSDT,REG_BULL,1.5,6.0,19,31.6,21.1,1.111
1000PEPEUSDT,REG_BULL,1.5,7.0,19,31.6,27.1,1.427
1000000BABYDOGEUSDT,REG_BEAR,1.0,5.0,40,27.5,22.29,0.557
1000CATUSDT,REG_BEAR,1.0,2.0,79,48.1,27.3,0.346
1000000BABYDOGEUSDT,REG_BEAR,1.0,6.0,40,27.5,33.29,0.832
1000000BABYDOGEUSDT,REG_BEAR,1.0,7.0,40,27.5,44.29,1.107
1000PEPEUSDT,REG_BULL,2.0,4.0,19,31.6,9.58,0.504
1000XUSDT,REG_BEAR,1.0,4.0,67,25.4,11.5,0.172
1000TURBOUSDT,REG_BEAR,1.0,4.0,73,28.8,26.49,0.363
1000PEPEUSDT,REG_BULL,2.0,5.0,19,31.6,15.58,0.82
1000000BABYDOGEUSDT,REG_BEAR,1.0,8.0,40,27.5,55.29,1.382
1000CATUSDT,REG_BEAR,1.0,4.0,79,34.2,48.3,0.611
1000TURBOUSDT,REG_BEAR,1.0,5.0,73,27.4,41.49,0.568
1000CATUSDT,REG_BEAR,1.0,5.0,79,34.2,75.3,0.953
1000TURBOUSDT,REG_BEAR,1.0,6.0,73,27.4,61.49,0.842
1000PEPEUSDT,REG_BEAR,1.0,1.5,42,52.4,9.06,0.216
10000ELONUSDT,REG_BEAR,1.0,4.0,67,26.9,16.23,0.242
1000PEPEUSDT,REG_BEAR,1.0,2.0,42,52.4,20.06,0.478
1000CATUSDT,REG_BEAR,1.0,6.0,79,34.2,102.3,1.295
1000TURBOUSDT,REG_BEAR,1.0,7.0,73,27.4,81.49,1.116
10000ELONUSDT,REG_BEAR,1.0,5.0,67,25.4,28.23,0.421
1000PEPEUSDT,REG_BEAR,1.0,3.0,42,52.4,42.06,1.001
1000000BABYDOGEUSDT,REG_BEAR,1.5,4.0,40,37.5,32.52,0.813
1000CATUSDT,REG_BEAR,1.0,7.0,79,25.3,73.3,0.928
1000TURBOUSDT,REG_BEAR,1.0,8.0,73,27.4,101.49,1.39
1000PEPEUSDT,REG_BEAR,1.0,4.0,42,52.4,64.06,1.525
1000000BABYDOGEUSDT,REG_BEAR,1.5,5.0,40,37.5,47.52,1.188
10000ELONUSDT,REG_BEAR,1.0,6.0,67,25.4,45.23,0.675
1000PEPEUSDT,REG_BEAR,1.0,5.0,42,52.4,86.06,2.049
1000000BABYDOGEUSDT,REG_BEAR,1.5,6.0,40,25.0,27.52,0.688
1000CATUSDT,REG_BEAR,1.0,8.0,79,25.3,93.3,1.181
1000TURBOUSDT,REG_BEAR,1.0,9.0,73,27.4,121.49,1.664
10000ELONUSDT,REG_BEAR,1.0,7.0,67,25.4,62.23,0.929
1000000BABYDOGEUSDT,REG_BEAR,1.5,7.0,40,25.0,37.52,0.938
1000PEPEUSDT,REG_BEAR,1.0,6.0,42,28.6,38.06,0.906
1000000BABYDOGEUSDT,REG_BEAR,1.5,8.0,40,25.0,47.52,1.188
1000PEPEUSDT,REG_BEAR,1.0,7.0,42,28.6,50.06,1.192
1000CATUSDT,REG_BEAR,1.0,9.0,79,25.3,113.3,1.434
1000TURBOUSDT,REG_BEAR,1.0,10.0,73,27.4,141.49,1.938
10000ELONUSDT,REG_BEAR,1.0,8.0,67,25.4,79.23,1.183
1000XUSDT,REG_BEAR,1.5,1.5,67,49.3,11.17,0.167
