symbol,divergence_type,rr,total_trades,wins,losses,win_rate,total_r,avg_r,sharpe_ratio,sortino_ratio,max_drawdown_r,max_drawdown_pct,max_consecutive_losses,profit_factor,p1_trades,p1_wins,p1_r,p2_trades,p2_wins,p2_r,p3_trades,p3_wins,p3_r,periods_profitable,mc_mean_r,mc_median_r,mc_std_r,mc_ci_lower,mc_ci_upper,mc_profitable_pct,mc_worst_case_r,mc_best_case_r,passes_min_trades,passes_win_rate,passes_profitability,passes_sharpe,passes_drawdown,passes_walk_forward,passes_monte_carlo,passes_all,avg_trade_duration,best_month_r,worst_month_r
0GUSDT,REG_BULL,3.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,4.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,5.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,6.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,7.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,8.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,9.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BULL,10.0,4,0,4,0.0,-4.3,-1.075,-141.58,-141.58,3.266,0.0,4,0.0,0,0,0.0,4,0,-4.3,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,1.2,0.0,0.0
0GUSDT,REG_BEAR,3.0,20,7,13,35.0,6.43,0.322,0.55,41.58,5.295,48.3,5,1.46,17,6,5.66,3,1,0.77,0,0,0.0,1,6.43,6.43,0.0,6.43,6.43,100.0,6.43,6.43,True,True,True,True,True,False,True,False,5.3,0.0,0.0
0GUSDT,REG_BEAR,4.0,20,5,15,25.0,3.43,0.172,0.26,21.91,6.599,94.8,6,1.21,17,4,1.66,3,1,1.77,0,0,0.0,1,3.43,3.43,0.0,3.43,3.43,100.0,3.43,3.43,True,True,True,False,False,False,True,False,7.0,0.0,0.0
