symbol,divergence_type,rr,total_trades,wins,losses,win_rate,total_r,avg_r,sharpe_ratio,sortino_ratio,max_drawdown_r,max_drawdown_pct,max_consecutive_losses,profit_factor,p1_trades,p1_wins,p1_r,p2_trades,p2_wins,p2_r,p3_trades,p3_wins,p3_r,periods_profitable,mc_mean_r,mc_median_r,mc_std_r,mc_ci_lower,mc_ci_upper,mc_profitable_pct,mc_worst_case_r,mc_best_case_r,passes_min_trades,passes_win_rate,passes_profitability,passes_sharpe,passes_drawdown,passes_walk_forward,passes_monte_carlo,passes_all,avg_trade_duration,best_month_r,worst_month_r
1000000BABYDOGEUSDT,REG_BULL,3.0,20,8,12,40.0,10.29,0.514,0.85,79.75,7.5550000000000015,42.3,7,1.79,6,3,5.51,9,5,10.12,5,0,-5.35,2,10.29,10.29,0.0,10.29,10.29,100.0,10.29,10.29,True,True,True,True,True,True,True,True,8.0,0.0,0.0
1000000BABYDOGEUSDT,REG_BULL,4.0,20,6,14,30.0,8.29,0.414,0.59,68.92,7.5550000000000015,47.7,7,1.55,6,2,3.51,9,4,10.12,5,0,-5.35,2,8.29,8.29,0.0,8.29,8.29,100.0,8.29,8.29,True,True,True,True,True,True,True,True,13.7,0.0,0.0
1000000CHEEMSUSDT,HID_BULL,7.0,57,12,45,21.052631578947366,32.88,0.577,0.57,44.66,22.14,45.9,20,1.66,19,2,-5.0,17,4,12.58,21,6,25.3,2,32.88,32.88,0.0,32.88,32.88,100.0,32.88,32.88,True,True,True,True,True,True,True,True,13.8,0.0,0.0
1000000CHEEMSUSDT,HID_BULL,8.0,57,12,45,21.052631578947366,44.88,0.787,0.69,60.96,22.14,36.8,20,1.9,19,2,-3.0,17,4,16.58,21,6,31.3,2,44.88,44.88,0.0,44.88,44.88,100.0,44.88,44.88,True,True,True,True,True,True,True,True,15.4,0.0,0.0
1000000CHEEMSUSDT,HID_BULL,9.0,57,12,45,21.052631578947366,56.88,0.998,0.79,77.26,22.14,30.6,20,2.14,19,2,-1.0,17,4,20.58,21,6,37.3,2,56.88,56.88,0.0,56.88,56.88,100.0,56.88,56.88,True,True,True,True,True,True,True,True,15.6,0.0,0.0
1000000CHEEMSUSDT,HID_BULL,10.0,57,11,46,19.298245614035086,57.88,1.015,0.76,76.71,22.140000000000004,29.8,20,2.14,19,2,1.0,17,4,24.58,21,5,32.3,3,57.88,57.88,0.0,57.88,57.88,100.0,57.88,57.88,True,True,True,True,True,True,True,True,17.4,0.0,0.0
10000ELONUSDT,REG_BEAR,6.0,44,10,34,22.727272727272727,21.65,0.492,0.54,41.31,15.529999999999994,41.8,14,1.58,7,4,20.14,9,0,-9.98,28,6,11.5,2,21.65,21.65,0.0,21.65,21.65,100.0,21.65,21.65,True,True,True,True,True,True,True,True,13.8,0.0,0.0
10000ELONUSDT,REG_BEAR,7.0,44,10,34,22.727272727272727,31.65,0.719,0.69,60.38,15.530000000000012,32.9,14,1.85,7,4,24.14,9,0,-9.98,28,6,17.5,2,31.65,31.65,0.0,31.65,31.65,100.0,31.65,31.65,True,True,True,True,True,True,True,True,16.9,0.0,0.0
10000ELONUSDT,REG_BEAR,8.0,44,10,34,22.727272727272727,41.65,0.947,0.81,79.46,15.530000000000008,27.2,14,2.11,7,4,28.14,9,0,-9.98,28,6,23.5,2,41.65,41.65,0.0,41.65,41.65,100.0,41.65,41.65,True,True,True,True,True,True,True,True,18.3,0.0,0.0
10000ELONUSDT,REG_BEAR,9.0,44,9,35,20.454545454545457,42.15,0.958,0.77,32.7,16.10800000000001,27.6,15,2.11,7,4,32.14,9,0,-9.98,28,5,20.0,2,42.15,42.15,0.0,42.15,42.15,100.0,42.15,42.15,True,True,True,True,True,True,True,True,23.0,0.0,0.0
10000ELONUSDT,REG_BEAR,10.0,44,8,36,18.181818181818183,40.65,0.924,0.71,24.06,19.902000000000008,32.9,19,2.05,7,4,36.14,9,0,-9.98,28,4,14.5,2,40.65,40.65,0.0,40.65,40.65,100.0,40.65,40.65,True,True,True,True,True,True,True,True,27.7,0.0,0.0
1000BONKUSDT,HID_BULL,5.0,46,11,35,23.91304347826087,17.87,0.388,0.49,10.1,8.384999999999994,31.9,8,1.49,23,5,5.9,14,5,14.95,9,1,-2.98,2,17.87,17.87,0.0,17.87,17.87,100.0,17.87,17.87,True,True,True,True,True,True,True,True,7.0,0.0,0.0
1000BONKUSDT,HID_BULL,6.0,46,11,35,23.91304347826087,28.87,0.628,0.68,16.32,8.306999999999999,22.9,8,1.79,23,5,10.9,14,5,19.95,9,1,-1.98,2,28.87,28.87,0.0,28.87,28.87,100.0,28.87,28.87,True,True,True,True,True,True,True,True,7.7,0.0,0.0
1000BONKUSDT,HID_BULL,7.0,46,11,35,23.91304347826087,39.87,0.867,0.83,22.54,8.307,17.8,8,2.1,23,5,15.9,14,5,24.95,9,1,-0.98,2,39.87,39.87,0.0,39.87,39.87,100.0,39.87,39.87,True,True,True,True,True,True,True,True,9.8,0.0,0.0
1000BONKUSDT,HID_BULL,8.0,46,11,35,23.91304347826087,50.87,1.106,0.94,28.75,8.306999999999999,14.4,8,2.4,23,5,20.9,14,5,29.95,9,1,0.02,3,50.87,50.87,0.0,50.87,50.87,100.0,50.87,50.87,True,True,True,True,True,True,True,True,11.1,0.0,0.0
1000BONKUSDT,HID_BULL,9.0,46,10,36,21.73913043478261,51.87,1.128,0.89,29.38,14.385000000000026,21.7,14,2.38,23,5,25.9,14,5,34.95,9,0,-8.98,2,51.87,51.87,0.0,51.87,51.87,100.0,51.87,51.87,True,True,True,True,True,True,True,True,13.5,0.0,0.0
1000NEIROCTOUSDT,REG_BEAR,8.0,39,7,32,17.94871794871795,21.89,0.561,0.53,13.13,12.580000000000002,47.6,12,1.65,8,3,18.49,12,1,-3.58,19,3,6.97,2,21.89,21.89,0.0,21.89,21.89,100.0,21.89,21.89,True,True,True,True,True,True,True,True,26.6,0.0,0.0
1000NEIROCTOUSDT,REG_BEAR,9.0,39,7,32,17.94871794871795,28.89,0.741,0.63,17.33,12.580000000000002,37.7,12,1.86,8,3,21.49,12,1,-2.58,19,3,9.97,2,28.89,28.89,0.0,28.89,28.89,100.0,28.89,28.89,True,True,True,True,True,True,True,True,28.3,0.0,0.0
1000PEPEUSDT,REG_BEAR,3.0,32,16,16,50.0,29.03,0.907,1.47,105.93,5.4999999999999964,17.6,5,2.66,8,2,-0.59,8,6,15.14,16,8,14.48,2,29.03,29.03,0.0,29.03,29.03,100.0,29.03,29.03,True,True,True,True,True,True,True,True,9.7,0.0,0.0
1000PEPEUSDT,REG_BEAR,4.0,32,13,19,40.625,30.03,0.938,1.24,101.33,5.4999999999999964,17.0,5,2.44,8,1,-3.59,8,4,11.14,16,8,22.48,2,30.03,30.03,0.0,30.03,30.03,100.0,30.03,30.03,True,True,True,True,True,True,True,True,18.2,0.0,0.0
