symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd_pct,mc_pct,train1,train2,oos
1000PEPEUSDT,REG_BEAR,3.0,1.0,32,46.9,25.53,2.27,21.5,100.0,"{'trades': 10, 'wins': 3, 'wr': 30.0, 'total_r': 1.75}","{'trades': 13, 'wins': 8, 'wr': 61.5, 'total_r': 17.75}","{'trades': 9, 'wins': 4, 'wr': 44.4, 'total_r': 6.03}"
1000XUSDT,HID_BEAR,3.0,0.8,56,44.6,36.86,2.47,21.4,100.0,"{'trades': 11, 'wins': 6, 'wr': 54.5, 'total_r': 11.7}","{'trades': 21, 'wins': 9, 'wr': 42.9, 'total_r': 11.9}","{'trades': 24, 'wins': 10, 'wr': 41.7, 'total_r': 13.27}"
1000XUSDT,HID_BEAR,3.0,1.0,56,42.9,34.79,2.35,25.3,100.0,"{'trades': 11, 'wins': 6, 'wr': 54.5, 'total_r': 12.46}","{'trades': 21, 'wins': 7, 'wr': 33.3, 'total_r': 4.52}","{'trades': 24, 'wins': 11, 'wr': 45.8, 'total_r': 17.81}"
1000XUSDT,HID_BEAR,4.0,0.8,56,35.7,36.86,2.05,24.4,100.0,"{'trades': 11, 'wins': 5, 'wr': 45.5, 'total_r': 12.7}","{'trades': 21, 'wins': 6, 'wr': 28.6, 'total_r': 5.9}","{'trades': 24, 'wins': 9, 'wr': 37.5, 'total_r': 18.27}"
AERGOUSDT,REG_BEAR,3.0,2.5,34,50.0,34.23,3.02,10.9,100.0,"{'trades': 15, 'wins': 8, 'wr': 53.3, 'total_r': 17.11}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 11.34}","{'trades': 6, 'wins': 3, 'wr': 50.0, 'total_r': 5.78}"
AIXBTUSDT,REG_BEAR,3.0,2.0,44,45.5,34.86,2.65,15.5,100.0,"{'trades': 14, 'wins': 7, 'wr': 50.0, 'total_r': 14.06}","{'trades': 22, 'wins': 9, 'wr': 40.9, 'total_r': 13.17}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 7.63}"
AIXBTUSDT,REG_BEAR,4.0,2.0,44,36.4,35.86,2.27,24.8,100.0,"{'trades': 14, 'wins': 6, 'wr': 42.9, 'total_r': 16.06}","{'trades': 22, 'wins': 6, 'wr': 27.3, 'total_r': 8.17}","{'trades': 8, 'wins': 4, 'wr': 50.0, 'total_r': 11.63}"
BANANAUSDT,REG_BEAR,3.0,2.0,44,50.0,44.33,3.41,10.7,100.0,"{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 11.96}","{'trades': 17, 'wins': 11, 'wr': 64.7, 'total_r': 26.89}","{'trades': 14, 'wins': 5, 'wr': 35.7, 'total_r': 5.48}"
BANANAUSDT,REG_BEAR,4.0,2.0,44,43.2,51.83,3.21,12.1,100.0,"{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 17.96}","{'trades': 17, 'wins': 10, 'wr': 58.8, 'total_r': 32.89}","{'trades': 14, 'wins': 3, 'wr': 21.4, 'total_r': 0.98}"
BANANAUSDT,HID_BULL,3.0,1.5,34,41.2,20.67,1.81,25.5,100.0,"{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 1.29}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 10.73}","{'trades': 7, 'wins': 4, 'wr': 57.1, 'total_r': 8.66}"
BANANAUSDT,HID_BULL,5.0,1.5,34,29.4,25.67,1.63,24.5,100.0,"{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 9.29}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 11.23}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 5.16}"
BABYUSDT,REG_BEAR,3.0,1.5,49,42.9,31.59,2.28,26.9,100.0,"{'trades': 10, 'wins': 7, 'wr': 70.0, 'total_r': 17.35}","{'trades': 21, 'wins': 7, 'wr': 33.3, 'total_r': 5.57}","{'trades': 18, 'wins': 7, 'wr': 38.9, 'total_r': 8.67}"
BABYUSDT,REG_BEAR,5.0,1.0,49,32.7,41.89,2.13,29.4,100.0,"{'trades': 10, 'wins': 6, 'wr': 60.0, 'total_r': 25.03}","{'trades': 21, 'wins': 6, 'wr': 28.6, 'total_r': 12.86}","{'trades': 18, 'wins': 4, 'wr': 22.2, 'total_r': 4.0}"
BROCCOLIUSDT,HID_BULL,3.0,2.0,31,51.6,33.63,3.09,18.5,100.0,"{'trades': 12, 'wins': 8, 'wr': 66.7, 'total_r': 19.65}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 11.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 2.29}"
BROCCOLIUSDT,HID_BULL,3.0,2.5,31,54.8,37.81,3.49,21.8,100.0,"{'trades': 12, 'wins': 8, 'wr': 66.7, 'total_r': 19.72}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 15.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 2.33}"
BROCCOLIUSDT,HID_BULL,4.0,2.0,31,45.2,39.63,2.9,20.9,100.0,"{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 17.65}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 17.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 4.29}"
BROCCOLIUSDT,HID_BULL,4.0,2.5,31,51.6,49.81,3.64,18.6,100.0,"{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 22.72}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 22.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 4.33}"
BROCCOLIUSDT,HID_BULL,5.0,2.0,31,41.9,47.63,2.92,19.6,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 17.65}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 23.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 6.29}"
BROCCOLIUSDT,HID_BULL,5.0,2.5,31,48.4,60.31,3.68,15.3,100.0,"{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 24.22}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 29.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 6.33}"
BROCCOLIUSDT,HID_BULL,6.0,2.0,31,41.9,60.63,3.19,15.4,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 22.65}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 29.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 8.29}"
BROCCOLIUSDT,HID_BULL,6.0,2.5,31,45.2,68.81,3.62,15.0,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 23.72}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 36.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 8.33}"
BROCCOLIUSDT,HID_BULL,7.0,2.0,31,38.7,66.13,3.08,16.4,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 20.15}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 35.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 10.29}"
BROCCOLIUSDT,HID_BULL,7.0,2.5,31,45.2,82.81,3.8,12.4,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 28.72}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 43.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 10.33}"
BROCCOLIUSDT,HID_BULL,8.0,2.0,31,38.7,78.13,3.23,13.9,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 24.15}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 41.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 12.29}"
BROCCOLIUSDT,HID_BULL,8.0,2.5,31,45.2,96.81,3.94,10.6,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 33.72}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 50.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 12.33}"
BROCCOLIUSDT,HID_BULL,9.0,2.0,31,38.7,90.13,3.36,12.0,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 28.15}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 47.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 14.29}"
BROCCOLIUSDT,HID_BULL,9.0,2.5,31,38.7,90.81,3.39,11.3,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 38.72}","{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 37.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 14.33}"
BROCCOLIUSDT,HID_BULL,10.0,2.0,31,38.7,102.13,3.45,10.6,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 32.15}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 53.69}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 16.29}"
BROCCOLIUSDT,HID_BULL,10.0,2.5,31,35.5,91.81,3.17,13.4,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 43.72}","{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 31.76}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 16.33}"
COOKIEUSDT,REG_BEAR,3.0,0.8,61,52.5,61.69,3.94,16.0,100.0,"{'trades': 28, 'wins': 20, 'wr': 71.4, 'total_r': 49.55}","{'trades': 21, 'wins': 7, 'wr': 33.3, 'total_r': 5.26}","{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 6.88}"
COOKIEUSDT,REG_BEAR,3.0,1.0,61,50.8,58.75,3.75,16.5,100.0,"{'trades': 28, 'wins': 19, 'wr': 67.9, 'total_r': 46.04}","{'trades': 21, 'wins': 7, 'wr': 33.3, 'total_r': 5.61}","{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 7.1}"
COOKIEUSDT,REG_BEAR,4.0,0.8,61,45.9,73.69,3.78,14.6,100.0,"{'trades': 28, 'wins': 17, 'wr': 60.7, 'total_r': 54.55}","{'trades': 21, 'wins': 6, 'wr': 28.6, 'total_r': 7.26}","{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 11.88}"
CTSIUSDT,HID_BULL,3.0,1.5,47,40.4,25.82,1.92,24.4,100.0,"{'trades': 31, 'wins': 13, 'wr': 41.9, 'total_r': 18.97}","{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 5.22}","{'trades': 6, 'wins': 2, 'wr': 33.3, 'total_r': 1.63}"
ETHUSDT,HID_BULL,3.0,2.0,64,43.8,43.57,2.76,25.7,100.0,"{'trades': 33, 'wins': 14, 'wr': 42.4, 'total_r': 21.48}","{'trades': 14, 'wins': 7, 'wr': 50.0, 'total_r': 12.9}","{'trades': 17, 'wins': 7, 'wr': 41.2, 'total_r': 9.19}"
FLUXUSDT,REG_BEAR,3.0,0.8,56,42.9,32.88,2.21,19.0,100.0,"{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 13.23}","{'trades': 30, 'wins': 13, 'wr': 43.3, 'total_r': 18.26}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 1.39}"
FLUXUSDT,REG_BEAR,4.0,2.5,56,41.1,59.72,3.3,14.0,100.0,"{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 22.43}","{'trades': 30, 'wins': 13, 'wr': 43.3, 'total_r': 35.8}","{'trades': 13, 'wins': 3, 'wr': 23.1, 'total_r': 1.48}"
GIGAUSDT,REG_BEAR,3.0,1.5,41,46.3,33.75,2.65,16.0,100.0,"{'trades': 21, 'wins': 9, 'wr': 42.9, 'total_r': 14.13}","{'trades': 11, 'wins': 5, 'wr': 45.5, 'total_r': 8.5}","{'trades': 9, 'wins': 5, 'wr': 55.6, 'total_r': 11.12}"
GIGAUSDT,REG_BEAR,3.0,2.0,41,51.2,44.19,3.55,11.8,100.0,"{'trades': 21, 'wins': 9, 'wr': 42.9, 'total_r': 15.35}","{'trades': 11, 'wins': 9, 'wr': 81.8, 'total_r': 24.63}","{'trades': 9, 'wins': 3, 'wr': 33.3, 'total_r': 4.21}"
GIGAUSDT,REG_BEAR,4.0,1.5,41,36.6,34.25,2.25,26.0,100.0,"{'trades': 21, 'wins': 7, 'wr': 33.3, 'total_r': 13.63}","{'trades': 11, 'wins': 5, 'wr': 45.5, 'total_r': 13.5}","{'trades': 9, 'wins': 3, 'wr': 33.3, 'total_r': 7.12}"
GNOUSDT,HID_BULL,3.0,2.0,96,40.6,56.62,3.0,29.9,100.0,"{'trades': 28, 'wins': 13, 'wr': 46.4, 'total_r': 22.26}","{'trades': 21, 'wins': 9, 'wr': 42.9, 'total_r': 13.2}","{'trades': 47, 'wins': 17, 'wr': 36.2, 'total_r': 21.16}"
GNOUSDT,HID_BULL,3.0,2.5,96,44.8,74.59,3.92,22.5,100.0,"{'trades': 28, 'wins': 14, 'wr': 50.0, 'total_r': 27.11}","{'trades': 21, 'wins': 10, 'wr': 47.6, 'total_r': 17.56}","{'trades': 47, 'wins': 19, 'wr': 40.4, 'total_r': 29.92}"
GNOUSDT,HID_BULL,4.0,2.0,96,39.6,90.62,3.84,18.7,100.0,"{'trades': 28, 'wins': 13, 'wr': 46.4, 'total_r': 35.26}","{'trades': 21, 'wins': 9, 'wr': 42.9, 'total_r': 22.2}","{'trades': 47, 'wins': 16, 'wr': 34.0, 'total_r': 33.16}"
