symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd,mc_pct,train1_r,train2_r,oos_r
1000PEPEUSDT,REG_BEAR,3.0,1.0,32,46.9,25.53,2.27,21.5,100.0,1.75,17.75,6.03
1000XUSDT,HID_BEAR,4.0,0.8,56,35.7,36.86,2.05,24.4,100.0,12.7,5.9,18.27
AERGOUSDT,REG_BEAR,3.0,2.5,34,50.0,34.23,3.02,10.9,100.0,17.11,11.34,5.78
AIXBTUSDT,REG_BEAR,4.0,2.0,44,36.4,35.86,2.27,24.8,100.0,16.06,8.17,11.63
BANANAUSDT,HID_BULL,3.0,1.5,34,41.2,20.67,1.81,25.5,100.0,1.29,10.73,8.66
BABYUSDT,REG_BEAR,3.0,1.5,49,42.9,31.59,2.28,26.9,100.0,17.35,5.57,8.67
BROCCOLIUSDT,HID_BULL,10.0,2.5,31,35.5,91.81,3.17,13.4,100.0,43.72,31.76,16.33
COOKIEUSDT,REG_BEAR,4.0,0.8,61,45.9,73.69,3.78,14.6,100.0,54.55,7.26,11.88
CTSIUSDT,HID_BULL,3.0,1.5,47,40.4,25.82,1.92,24.4,100.0,18.97,5.22,1.63
ETHUSDT,HID_BULL,3.0,2.0,64,43.8,43.57,2.76,25.7,100.0,21.48,12.9,9.19
FLUXUSDT,REG_BEAR,4.0,2.5,56,41.1,59.72,3.3,14.0,100.0,22.43,35.8,1.48
GIGAUSDT,REG_BEAR,3.0,1.5,41,46.3,33.75,2.65,16.0,100.0,14.13,8.5,11.12
GNOUSDT,HID_BULL,6.0,2.5,96,30.2,111.09,3.61,17.0,100.0,35.61,21.06,54.42
GRIFFAINUSDT,REG_BEAR,3.0,1.5,54,44.4,40.44,2.78,20.4,100.0,7.02,22.91,10.51
GRASSUSDT,HID_BEAR,3.0,1.5,63,38.1,30.42,1.97,27.2,100.0,10.01,12.34,8.07
HAEDALUSDT,HID_BULL,4.0,2.0,37,37.8,31.9,2.18,29.6,100.0,3.44,25.3,3.16
HIPPOUSDT,REG_BULL,10.0,1.5,32,34.4,87.83,2.97,7.1,100.0,21.52,30.5,35.81
IPUSDT,HID_BULL,5.0,2.0,37,35.1,40.71,2.35,18.0,100.0,12.3,23.64,4.77
JUPUSDT,REG_BEAR,8.0,1.0,42,28.6,62.31,2.36,17.6,100.0,20.76,14.06,27.5
MOVEUSDT,REG_BEAR,4.0,1.5,43,39.5,42.59,2.72,17.1,100.0,13.13,18.05,11.4
NOTUSDT,HID_BEAR,5.0,1.5,50,30.0,39.96,2.08,21.0,100.0,13.19,9.69,17.08
PENGUUSDT,REG_BULL,4.0,0.8,37,48.6,50.36,3.32,10.4,100.0,9.9,35.84,4.62
PNUTUSDT,HID_BULL,4.0,1.5,35,37.1,28.34,1.99,29.7,100.0,3.45,12.19,12.7
PROVEUSDT,HID_BEAR,3.0,2.5,65,47.7,57.1,3.57,16.2,100.0,17.01,16.63,23.46
RECALLUSDT,HID_BEAR,3.0,2.5,31,41.9,21.35,1.97,18.9,100.0,1.85,9.72,9.79
PUMPFUNUSDT,REG_BEAR,4.0,0.8,40,35.0,27.53,1.82,27.3,100.0,13.54,13.2,0.79
SAFEUSDT,REG_BEAR,3.0,2.0,45,42.2,29.48,2.25,22.1,100.0,7.87,16.31,5.31
SLPUSDT,REG_BEAR,6.0,1.5,43,32.6,53.12,2.48,11.9,100.0,11.43,23.89,17.81
SOPHUSDT,REG_BEAR,3.0,1.5,51,45.1,38.81,2.74,24.8,100.0,14.71,1.59,22.51
SQDUSDT,HID_BEAR,3.0,1.5,83,36.1,34.24,1.96,28.4,100.0,0.01,18.21,16.02
SPKUSDT,REG_BEAR,3.0,2.5,38,52.6,42.4,3.51,12.0,100.0,6.27,15.51,20.62
TRXUSDT,HID_BULL,4.0,2.5,75,40.0,64.84,3.09,24.7,100.0,54.79,6.22,3.83
USUALUSDT,REG_BEAR,3.0,0.8,48,41.7,27.46,2.0,20.4,100.0,6.89,17.09,3.47
