symbol,status,current_r,new_r,diff,details
1000000MOGUSDT,IMPROVED,48.01,242.52,194.51,Old: 48.0R -> New: 242.5R (HID_BEAR 10.0R)
PNUTUSDT,IMPROVED,26.31,146.67,120.36,Old: 26.3R -> New: 146.7R (REG_BEAR 10.0R)
BANUSDT,IMPROVED,23.18,123.57,100.39,Old: 23.2R -> New: 123.6R (HID_BULL 10.0R)
GLMUSDT,IMPROVED,-17.27,38.75,56.02,Old: -17.3R -> New: 38.8R (HID_BULL 9.0R)
ARCUSDT,IMPROVED,-20.25,34.86,55.11,Old: -20.3R -> New: 34.9R (HID_BULL 9.0R)
GRIFFAINUSDT,IMPROVED,-14.43,39.72,54.15,Old: -14.4R -> New: 39.7R (REG_BEAR 9.0R)
MYXUSDT,IMPROVED,-16.29,33.2,49.49,Old: -16.3R -> New: 33.2R (HID_BULL 9.0R)
TAUSDT,IMPROVED,21.9,68.6,46.7,Old: 21.9R -> New: 68.6R (HID_BULL 10.0R)
ATHUSDT,IMPROVED,-1.64,42.03,43.67,Old: -1.6R -> New: 42.0R (HID_BEAR 10.0R)
KASUSDT,IMPROVED,0.42,39.42,39.0,Old: 0.4R -> New: 39.4R (HID_BEAR 10.0R)
1000PEPEUSDT,IMPROVED,-8.49,30.33,38.82,Old: -8.5R -> New: 30.3R (REG_BEAR 10.0R)
ICPUSDT,IMPROVED,-1.23,36.15,37.38,Old: -1.2R -> New: 36.1R (HID_BULL 10.0R)
BNBUSDT,IMPROVED,18.63,53.75,35.12,Old: 18.6R -> New: 53.8R (HID_BULL 10.0R)
MUSDT,IMPROVED,3.34,37.13,33.79,Old: 3.3R -> New: 37.1R (HID_BULL 9.0R)
CRVUSDT,IMPROVED,-29.23,4.21,33.44,Old: -29.2R -> New: 4.2R (HID_BULL 2.0R)
XTZUSDT,IMPROVED,3.47,36.16,32.69,Old: 3.5R -> New: 36.2R (REG_BEAR 10.0R)
RESOLVUSDT,IMPROVED,5.11,37.44,32.33,Old: 5.1R -> New: 37.4R (HID_BULL 9.0R)
RUNEUSDT,IMPROVED,-3.53,28.06,31.59,Old: -3.5R -> New: 28.1R (REG_BEAR 10.0R)
ZENUSDT,IMPROVED,-7.68,22.78,30.46,Old: -7.7R -> New: 22.8R (HID_BEAR 8.0R)
IPUSDT,IMPROVED,32.65,63.02,30.37,Old: 32.6R -> New: 63.0R (HID_BULL 9.0R)
CAKEUSDT,IMPROVED,-12.37,17.83,30.2,Old: -12.4R -> New: 17.8R (REG_BEAR 10.0R)
DASHUSDT,IMPROVED,-14.94,15.06,30.0,Old: -14.9R -> New: 15.1R (HID_BEAR 8.0R)
ZETAUSDT,IMPROVED,1.69,31.4,29.71,Old: 1.7R -> New: 31.4R (REG_BEAR 10.0R)
RLCUSDT,IMPROVED,-3.48,26.17,29.65,Old: -3.5R -> New: 26.2R (REG_BEAR 7.0R)
HYPERUSDT,IMPROVED,-11.91,17.01,28.92,Old: -11.9R -> New: 17.0R (REG_BEAR 5.0R)
