symbol,side,signal_type,entry,sl,tp,exit,outcome,bars_held,filled,r_pnl
BTCUSDT,short,hidden_bearish,101774.9,102871.3,98485.69999999997,102871.3,loss,12,True,-1.0
BTCUSDT,short,hidden_bearish,101458.4,102494.8,98349.19999999997,102494.8,loss,8,True,-1.0
BTCUSDT,short,hidden_bearish,100717.3,102132.26541695838,96472.40374912487,102132.26541695838,loss,6,True,-1.0
BTCUSDT,short,hidden_bearish,99589.1,101250.27313540429,94605.58059378713,101250.27313540429,loss,3,True,-1.0
BTCUSDT,short,hidden_bearish,100744.8,102494.8,95494.8,102494.8,loss,2,True,-1.0
BTCUSDT,short,hidden_bearish,101118.0,102494.8,96987.59999999999,102494.8,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,102565.1,102871.35414824201,101646.33755527397,102871.35414824201,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,103729.8,104030.43276023511,102827.90171929468,104030.43276023511,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,103579.5,104047.6,102175.19999999998,102175.19999999998,win,7,True,3.0
BTCUSDT,short,hidden_bearish,105009.3,105316.9,104086.50000000003,104086.50000000003,win,1,True,3.0
BTCUSDT,short,hidden_bearish,102110.2,103983.08828145756,96491.5351556273,103983.08828145756,loss,15,True,-1.0
BTCUSDT,short,hidden_bearish,101693.8,103523.54630918369,96204.56107244895,103523.54630918369,loss,12,True,-1.0
BTCUSDT,short,hidden_bearish,101240.3,102955.83745000907,96093.68764997278,102955.83745000907,loss,9,True,-1.0
BTCUSDT,short,hidden_bearish,102062.8,103676.92475435631,97220.4257369311,103676.92475435631,loss,2,True,-1.0
BTCUSDT,short,hidden_bearish,103545.0,104270.0,101370.0,101370.0,win,8,True,3.0
BTCUSDT,short,hidden_bearish,95797.5,98419.63283286247,87931.1015014126,95797.5,timeout,50,True,0.0
BTCUSDT,short,hidden_bearish,95740.3,98343.21577223892,87931.55268328324,95740.3,timeout,50,True,0.0
BTCUSDT,short,hidden_bearish,95018.8,97632.27718003724,87178.3684598883,95018.8,timeout,50,True,0.0
BTCUSDT,short,hidden_bearish,94533.3,97011.69308189464,87098.12075431609,94533.3,timeout,50,True,0.0
BTCUSDT,short,hidden_bearish,96332.1,96777.0,94997.40000000002,94997.40000000002,win,11,True,3.0
BTCUSDT,short,hidden_bearish,96219.7,96777.0,94547.79999999999,94547.79999999999,win,23,True,3.0
BTCUSDT,short,hidden_bearish,96200.0,96777.0,94469.0,94469.0,win,21,True,3.0
BTCUSDT,short,hidden_bearish,95961.9,96542.6,94219.79999999996,96542.6,loss,13,True,-1.0
BTCUSDT,short,hidden_bearish,95233.6,96371.41874201589,91820.14377395235,96371.41874201589,loss,11,True,-1.0
BTCUSDT,short,hidden_bearish,95559.1,96439.6,92917.6,96439.6,loss,9,True,-1.0
BTCUSDT,short,hidden_bearish,95229.3,96302.92305364377,92008.4308390687,96302.92305364377,loss,7,True,-1.0
BTCUSDT,short,hidden_bearish,95774.7,96439.6,93779.99999999997,96439.6,loss,5,True,-1.0
BTCUSDT,short,hidden_bearish,95846.3,96439.6,94066.4,96439.6,loss,3,True,-1.0
BTCUSDT,short,hidden_bearish,96060.8,96362.9,95154.50000000003,96362.9,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,96577.7,96724.0006727115,96138.7979818655,96138.7979818655,win,1,True,3.0
BTCUSDT,short,hidden_bearish,93222.0,93800.0,91488.0,91488.0,win,10,True,3.0
BTCUSDT,short,hidden_bearish,93139.0,93800.0,91156.0,91156.0,win,8,True,3.0
BTCUSDT,short,hidden_bearish,92442.8,93800.0,88371.20000000001,88371.20000000001,win,42,True,3.0
BTCUSDT,short,hidden_bearish,92925.0,93800.0,90300.0,90300.0,win,5,True,3.0
BTCUSDT,short,hidden_bearish,92412.0,93800.0,88248.0,88248.0,win,38,True,3.0
BTCUSDT,short,hidden_bearish,91838.3,93500.67764352627,86851.1670694212,86851.1670694212,win,37,True,3.0
BTCUSDT,short,hidden_bearish,90406.4,92180.39920780418,85084.40237658746,92180.39920780418,loss,9,True,-1.0
BTCUSDT,short,hidden_bearish,91812.2,93625.43673830625,86372.48978508126,86372.48978508126,win,33,True,3.0
BTCUSDT,short,hidden_bearish,91480.6,93121.13959455004,86558.98121634992,93121.13959455004,loss,19,True,-1.0
BTCUSDT,short,hidden_bearish,91362.8,92833.52173990647,86950.6347802806,92833.52173990647,loss,16,True,-1.0
BTCUSDT,short,hidden_bearish,91350.0,92802.44610686308,86992.66167941075,92802.44610686308,loss,14,True,-1.0
BTCUSDT,short,hidden_bearish,89887.9,91855.60040915493,83984.79877253518,91855.60040915493,loss,8,True,-1.0
BTCUSDT,short,hidden_bearish,84517.3,85182.3,82522.3,85182.3,loss,4,True,-1.0
BTCUSDT,short,hidden_bearish,84572.0,84888.0,83624.0,84888.0,loss,2,True,-1.0
BTCUSDT,short,hidden_bearish,84374.9,84888.0,82835.59999999998,84888.0,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,84701.5,85242.0,83080.0,85242.0,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,85841.2,86144.0,84932.79999999999,86144.0,loss,1,True,-1.0
BTCUSDT,short,hidden_bearish,86267.2,86463.2571077192,85679.0286768424,86463.2571077192,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,3501.15,3587.38,3242.46,3242.46,win,27,True,3.0
ETHUSDT,short,hidden_bearish,3397.51,3506.3059597817505,3071.1221206547493,3506.3059597817505,loss,12,True,-1.0
ETHUSDT,short,hidden_bearish,3481.12,3579.4053785692954,3186.263864292113,3186.263864292113,win,13,True,3.0
ETHUSDT,short,hidden_bearish,3539.14,3554.1667393188072,3494.059782043578,3494.059782043578,win,2,True,3.0
ETHUSDT,short,hidden_bearish,3139.28,3256.55,2787.4700000000003,3139.28,timeout,50,True,0.0
ETHUSDT,short,hidden_bearish,3191.98,3256.55,2998.2699999999995,3191.98,timeout,50,True,0.0
ETHUSDT,short,hidden_bearish,2720.03,2783.11,2530.7900000000004,2783.11,loss,9,True,-1.0
ETHUSDT,short,hidden_bearish,2745.19,2783.11,2631.43,2783.11,loss,7,True,-1.0
ETHUSDT,short,hidden_bearish,2754.36,2783.11,2668.11,2783.11,loss,5,True,-1.0
ETHUSDT,short,hidden_bearish,2751.24,2769.99,2694.99,2769.99,loss,3,True,-1.0
ETHUSDT,short,hidden_bearish,2739.78,2769.99,2649.1500000000015,2769.99,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2788.14,2798.79,2756.1899999999996,2798.79,loss,2,True,-1.0
ETHUSDT,short,hidden_bearish,2771.97,2798.79,2691.5099999999993,2798.79,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2819.87,2833.55,2778.829999999999,2833.55,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2826.89,2852.07,2751.349999999999,2852.07,loss,9,True,-1.0
ETHUSDT,short,hidden_bearish,2996.7,3013.33,2946.8099999999995,3013.33,loss,3,True,-1.0
ETHUSDT,short,hidden_bearish,2996.39,3013.33,2945.5699999999997,3013.33,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,3005.51,3017.84,2968.5200000000004,3017.84,loss,3,True,-1.0
ETHUSDT,short,hidden_bearish,3008.1,3017.84,2978.879999999999,3017.84,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,3024.71,3036.36,2989.7599999999998,3036.36,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2799.78,2849.24,2651.4000000000015,2849.24,loss,11,True,-1.0
ETHUSDT,short,hidden_bearish,2803.71,2838.78,2698.4999999999995,2838.78,loss,8,True,-1.0
ETHUSDT,short,hidden_bearish,2811.81,2823.77,2775.93,2823.77,loss,3,True,-1.0
ETHUSDT,short,hidden_bearish,2796.84,2823.77,2716.0500000000006,2823.77,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2822.11,2833.96,2786.5600000000004,2833.96,loss,2,True,-1.0
ETHUSDT,short,hidden_bearish,2826.52,2833.96,2804.2,2833.96,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2893.88,2909.47,2847.110000000001,2909.47,loss,1,True,-1.0
ETHUSDT,short,hidden_bearish,2993.91,3023.92,2903.879999999999,3023.92,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,142.71,144.18,138.3,144.18,loss,9,True,-1.0
SOLUSDT,short,hidden_bearish,140.9,143.58,132.85999999999999,143.58,loss,7,True,-1.0
SOLUSDT,short,hidden_bearish,140.17,143.49457025973393,130.19628922079818,143.49457025973393,loss,5,True,-1.0
SOLUSDT,short,hidden_bearish,141.62,143.56,135.8,143.56,loss,3,True,-1.0
SOLUSDT,short,hidden_bearish,141.65,143.56,135.92000000000002,143.56,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,143.41,144.65,139.68999999999997,139.68999999999997,win,3,True,3.0
SOLUSDT,short,hidden_bearish,139.9,143.1383392081409,130.18498237557728,143.1383392081409,loss,26,True,-1.0
SOLUSDT,short,hidden_bearish,139.4,142.65795256078138,129.62614231765585,142.65795256078138,loss,21,True,-1.0
SOLUSDT,short,hidden_bearish,137.37,141.05850659009803,126.30448022970594,141.05850659009803,loss,14,True,-1.0
SOLUSDT,short,hidden_bearish,135.76,139.74594494989583,123.80216515031246,139.74594494989583,loss,9,True,-1.0
SOLUSDT,short,hidden_bearish,136.77,141.14362087347735,123.64913737956803,141.14362087347735,loss,10,True,-1.0
SOLUSDT,short,hidden_bearish,136.38,140.3848974560785,124.36530763176442,140.3848974560785,loss,5,True,-1.0
