symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
0GUSDT,HID_BEAR,2.0,9.0,26,13.08,15.4,6,-6.25,0.0
1000BONKUSDT,HID_BULL,1.0,10.0,49,57.98,20.4,3,7.77,33.3
1000PEPEUSDT,HID_BEAR,1.0,9.0,48,17.96,14.6,14,4.62,14.3
1000RATSUSDT,REG_BULL,1.0,7.0,18,12.93,22.2,11,-11.65,0.0
1INCHUSDT,REG_BEAR,1.5,10.0,29,23.72,17.2,6,4.56,16.7
AAVEUSDT,REG_BEAR,2.0,10.0,25,72.75,36.0,14,-15.02,0.0
ADAUSDT,HID_BEAR,1.5,10.0,51,66.56,21.6,15,27.93,26.7
AEROUSDT,HID_BULL,1.5,10.0,33,20.47,15.2,4,-4.18,0.0
ALGOUSDT,HID_BULL,1.0,8.0,35,15.67,17.1,10,-2.0,10.0
APEUSDT,REG_BULL,1.0,3.0,25,8.48,36.0,3,0.73,33.3
APTUSDT,REG_BEAR,1.0,10.0,25,5.02,12.0,10,-11.02,0.0
ARBUSDT,REG_BEAR,2.0,8.0,21,31.96,28.6,7,-7.38,0.0
ARKMUSDT,HID_BEAR,1.5,10.0,44,52.79,20.5,25,28.55,20.0
ASTERUSDT,REG_BEAR,1.0,9.0,16,22.85,25.0,3,-3.42,0.0
ATOMUSDT,REG_BEAR,1.0,1.5,40,9.89,55.0,12,3.72,58.3
AUCTIONUSDT,HID_BULL,1.5,10.0,47,71.01,23.4,8,2.3,12.5
AVAXUSDT,REG_BULL,2.0,9.0,21,27.92,23.8,3,-3.23,0.0
AVNTUSDT,HID_BEAR,2.0,9.0,24,35.28,25.0,8,-8.34,0.0
AXLUSDT,HID_BEAR,1.0,10.0,43,29.95,16.3,23,41.1,26.1
AXSUSDT,REG_BULL,1.0,4.0,14,19.52,50.0,7,-7.47,0.0
BCHUSDT,HID_BEAR,2.0,7.0,45,15.81,17.8,9,-9.72,0.0
BNBUSDT,HID_BULL,2.0,10.0,54,94.47,25.9,12,-2.41,8.3
